# synthetic, for demo only -- 400 cells x 132 genes, Poisson counts
# 12 TF programs x 8 targets + 24 unlinked genes; truth in ground_truth_edges.csv
cell,TF01,G001,G002,G003,G004,G005,G006,G007,G008,TF02,G009,G010,G011,G012,G013,G014,G015,G016,TF03,G017,G018,G019,G020,G021,G022,G023,G024,TF04,G025,G026,G027,G028,G029,G030,G031,G032,TF05,G033,G034,G035,G036,G037,G038,G039,G040,TF06,G041,G042,G043,G044,G045,G046,G047,G048,TF07,G049,G050,G051,G052,G053,G054,G055,G056,TF08,G057,G058,G059,G060,G061,G062,G063,G064,TF09,G065,G066,G067,G068,G069,G070,G071,G072,TF10,G073,G074,G075,G076,G077,G078,G079,G080,TF11,G081,G082,G083,G084,G085,G086,G087,G088,TF12,G089,G090,G091,G092,G093,G094,G095,G096,U001,U002,U003,U004,U005,U006,U007,U008,U009,U010,U011,U012,U013,U014,U015,U016,U017,U018,U019,U020,U021,U022,U023,U024
Cell0199,5,3,9,2,4,3,5,6,5,12,5,4,3,5,2,7,2,6,6,7,6,9,1,10,5,3,7,1,2,2,1,3,1,0,7,12,5,8,5,4,2,10,9,4,4,9,3,6,6,8,4,8,2,4,10,25,9,1,4,3,21,18,12,21,10,2,4,6,9,9,3,6,1,6,7,7,1,4,4,3,5,2,4,6,5,6,2,3,1,10,3,1,5,2,5,3,4,6,1,1,8,7,5,11,1,2,4,7,6,0,3,7,1,11,4,2,1,0,5,1,9,15,5,2,2,11,2,5,4,11,0,2
Cell0200,3,7,6,3,1,2,8,3,3,2,1,7,4,5,3,5,2,7,5,5,6,3,8,4,2,1,7,2,4,3,2,1,1,2,7,6,2,3,4,3,2,8,8,10,12,6,10,1,4,6,3,10,3,11,1,12,3,3,3,5,11,9,2,5,1,10,4,2,2,3,1,7,2,1,4,5,3,6,2,4,9,0,19,6,4,1,2,13,3,7,1,6,4,5,8,6,8,3,0,3,2,5,8,11,3,7,7,5,2,1,4,5,4,9,2,4,2,1,6,7,7,2,5,5,1,9,2,2,4,0,3,4
Cell0201,2,0,4,2,5,5,7,3,0,7,2,5,5,4,5,6,0,8,2,3,3,7,3,3,3,6,9,4,8,1,3,4,2,2,13,5,4,3,4,8,3,4,1,10,7,7,3,5,7,3,6,3,4,9,12,26,6,2,1,1,19,11,11,23,16,0,9,3,11,17,4,23,0,2,6,3,1,8,4,0,5,4,3,10,5,3,3,1,2,14,1,3,11,1,5,5,3,8,0,3,2,6,2,11,1,7,2,2,4,1,12,4,2,13,3,0,4,3,4,2,1,6,7,0,5,8,11,5,7,4,6,6
Cell0202,3,6,4,5,2,5,13,8,5,6,7,8,9,3,1,9,5,3,4,2,1,5,5,4,0,1,10,0,4,3,2,3,4,2,10,8,2,0,0,3,1,3,2,13,8,6,5,5,4,7,2,7,1,6,0,14,0,3,5,10,5,9,5,6,5,5,2,0,7,2,0,8,5,4,4,4,2,10,1,4,5,4,11,12,7,4,2,6,4,12,4,2,1,2,3,5,7,4,2,3,4,6,8,7,2,5,10,7,10,2,0,6,3,4,3,8,11,4,7,1,13,21,4,1,3,6,6,5,8,2,8,1
Cell0203,1,3,5,2,7,3,5,3,4,12,3,5,2,1,6,9,5,5,5,0,4,5,2,4,3,6,4,2,6,6,0,2,2,2,4,1,2,5,2,8,1,8,7,7,7,16,8,6,8,7,3,6,5,7,16,25,13,3,0,4,15,25,14,11,3,3,8,7,9,9,9,14,5,3,8,2,2,1,4,1,9,1,4,17,1,7,3,6,3,15,0,4,6,2,0,1,9,5,2,3,6,9,3,9,1,5,8,4,8,3,4,3,1,5,3,3,3,1,3,1,6,6,2,2,5,18,3,4,3,1,2,6
Cell0204,17,13,1,18,2,8,19,11,10,1,2,7,4,4,3,4,1,3,1,2,2,1,8,4,1,5,7,4,10,3,4,5,4,3,10,3,25,23,12,15,16,40,10,2,1,3,9,2,2,3,4,7,1,9,4,4,1,3,6,10,5,6,3,8,1,3,4,0,7,4,10,12,12,4,3,5,5,11,0,4,12,0,5,15,1,5,2,4,2,15,3,1,4,2,4,4,3,1,1,9,1,10,12,12,4,4,8,2,1,0,5,7,1,23,3,4,1,2,5,5,7,12,3,18,2,4,4,5,8,1,4,11
Cell0205,2,0,9,2,3,6,10,6,4,8,6,7,1,4,5,5,2,9,3,4,4,3,8,4,4,7,9,1,1,2,3,5,2,0,3,3,3,2,6,6,2,8,10,15,6,17,3,1,5,13,4,7,5,6,9,26,14,1,2,7,17,17,6,18,3,1,9,4,12,16,6,26,1,2,5,0,1,1,6,0,7,1,6,12,3,4,1,4,1,9,2,1,4,2,3,2,2,6,2,4,4,1,5,5,0,5,3,5,4,2,2,15,1,1,5,1,3,3,2,3,7,13,0,4,5,0,2,0,5,8,3,4
Cell0206,3,1,5,3,2,1,3,5,2,11,4,2,5,2,5,3,1,5,8,6,5,7,4,4,4,5,4,1,3,2,4,2,0,1,4,4,3,2,6,13,0,13,6,5,9,1,3,2,3,3,9,13,1,5,4,10,1,2,8,8,7,5,2,6,6,2,4,6,7,10,4,5,6,3,6,4,2,9,0,2,4,2,13,5,6,4,5,6,4,2,6,8,2,6,4,4,9,2,3,1,3,4,9,7,1,4,3,7,6,3,1,4,0,12,3,5,3,2,1,1,4,1,4,10,4,10,3,4,4,10,2,5
Cell0207,11,11,7,10,2,18,20,9,6,3,1,5,3,3,2,1,0,4,2,3,3,1,13,3,1,3,6,6,13,5,6,12,5,5,13,2,19,21,25,16,14,55,12,3,2,1,8,2,6,3,3,6,6,5,0,6,4,3,5,10,4,13,8,11,0,3,5,2,5,9,2,10,10,5,4,6,1,9,2,6,13,1,3,8,2,7,2,6,2,8,1,8,1,2,3,9,9,1,2,9,4,6,12,13,4,3,13,2,10,3,2,16,8,9,12,3,3,1,6,1,7,5,4,4,5,8,4,0,1,5,2,10
Cell0208,4,4,10,1,9,5,6,2,5,6,2,4,1,1,2,5,2,4,6,1,5,7,2,5,3,4,14,2,5,2,2,6,4,4,5,9,3,4,7,7,1,8,5,10,5,3,10,3,6,3,2,9,3,5,3,6,3,1,4,5,3,9,7,5,4,3,4,2,4,6,2,8,4,3,6,3,2,5,2,3,8,0,4,2,3,3,8,12,0,5,3,2,4,4,4,5,8,2,3,7,5,9,5,10,5,6,6,2,5,1,0,3,3,13,6,2,5,3,4,5,0,8,7,2,3,7,6,8,8,0,4,1
Cell0209,1,0,11,1,4,1,6,2,2,9,1,4,6,1,3,3,2,10,6,7,2,3,12,5,3,6,7,2,1,5,1,4,6,2,5,3,5,5,9,7,3,8,6,5,2,7,5,6,3,2,2,6,3,10,4,4,1,6,5,11,3,11,2,13,3,2,11,3,11,15,6,15,7,3,2,5,2,6,2,6,13,5,11,6,7,2,1,9,3,4,1,4,7,0,3,8,4,4,1,3,2,7,8,8,3,6,7,1,8,3,10,7,3,13,3,6,7,1,3,2,8,22,4,2,5,4,6,1,6,6,1,6
Cell0210,15,10,4,10,0,11,10,8,7,5,0,4,7,1,1,2,2,7,0,4,0,5,11,5,1,2,7,7,15,8,10,12,7,6,17,0,16,28,21,22,6,63,6,1,2,4,12,2,0,2,13,8,1,6,3,9,3,4,15,9,4,7,3,9,9,4,7,5,7,16,2,9,14,7,7,6,6,14,2,6,13,0,3,16,2,4,1,4,2,11,1,2,2,0,3,3,6,0,2,7,3,9,11,11,4,7,8,1,4,5,1,19,7,3,4,3,2,4,5,12,5,6,1,0,5,7,6,2,4,6,4,1
Cell0211,0,2,13,2,3,1,5,2,4,11,3,1,5,2,3,4,1,3,13,7,5,8,5,10,4,4,10,1,4,0,0,3,1,2,3,10,8,6,6,6,2,5,3,12,14,7,5,0,4,6,3,7,1,8,4,4,2,3,12,7,3,11,1,18,3,3,11,3,7,12,4,23,6,4,3,6,3,10,2,6,10,6,14,6,4,4,4,2,4,9,1,6,2,6,6,7,8,2,3,2,6,5,9,7,2,0,4,3,4,7,7,9,4,6,9,2,8,1,12,1,6,7,3,1,1,8,4,1,1,5,1,0
Cell0212,6,6,3,6,3,7,13,11,10,3,2,1,9,2,2,2,0,4,2,4,3,2,7,2,1,0,8,10,11,4,8,9,12,3,18,2,9,20,10,18,9,32,15,0,1,3,3,0,0,1,4,9,2,8,2,7,1,5,4,5,9,10,6,7,7,2,2,1,4,4,1,8,4,6,1,3,5,14,2,12,14,0,4,16,2,3,1,6,4,17,2,5,5,0,3,3,4,5,0,6,2,8,11,6,6,4,10,3,3,4,2,16,3,5,4,5,2,6,7,3,6,3,5,2,3,6,2,3,1,6,6,6
Cell0213,13,6,4,7,4,14,19,11,10,4,0,3,8,2,1,4,2,1,0,2,3,2,7,2,1,1,5,9,18,4,4,11,7,11,19,3,15,16,9,20,5,33,7,1,2,3,9,5,2,5,9,10,3,7,2,5,4,2,12,10,4,7,3,10,4,4,4,2,10,3,3,7,6,10,4,10,2,9,5,4,7,0,3,12,4,9,2,6,5,12,6,8,0,4,8,3,10,1,3,7,5,8,12,8,2,3,9,3,6,4,2,2,4,5,3,0,3,3,3,1,3,3,4,8,1,8,2,2,8,5,3,1
Cell0214,3,6,8,2,2,11,8,6,6,12,6,6,6,3,3,5,3,4,4,7,9,4,1,7,0,5,9,3,5,1,3,4,3,0,6,2,4,0,3,6,1,5,5,11,9,9,2,5,3,13,4,3,6,7,12,16,10,1,4,6,14,10,11,28,13,1,12,11,16,17,7,37,4,1,5,3,2,7,3,3,8,1,3,5,1,2,0,5,3,4,1,0,4,2,6,3,7,3,1,3,5,7,6,5,4,4,6,2,10,2,4,16,4,17,4,2,3,3,0,1,9,11,5,1,2,8,14,2,7,4,3,1
Cell0215,8,18,4,2,1,11,22,14,8,1,3,0,5,1,0,5,2,1,2,2,1,8,11,5,0,3,10,4,22,7,5,18,11,5,19,0,18,10,10,18,12,34,9,1,0,7,6,4,6,2,9,6,1,12,3,9,3,1,6,4,9,7,4,8,3,3,8,3,8,12,2,13,15,5,3,5,3,7,1,8,12,0,7,19,2,6,0,2,3,13,1,8,1,3,2,5,3,5,2,4,3,8,10,11,8,8,13,3,12,4,3,6,5,12,6,6,4,4,7,1,3,12,3,2,5,13,10,1,2,7,12,3
Cell0216,3,4,5,2,3,3,7,6,3,8,4,6,4,4,4,7,2,6,6,4,2,3,3,3,6,5,11,0,7,3,2,2,3,1,6,6,6,6,7,13,1,13,8,8,6,8,3,1,4,3,4,7,1,13,5,5,4,1,9,6,5,6,0,21,5,3,6,3,11,14,2,27,4,4,5,4,2,9,2,2,4,3,17,6,6,3,5,10,5,4,1,7,2,1,4,2,14,4,3,0,4,5,5,1,1,4,3,10,10,1,6,13,3,0,7,4,4,1,7,2,4,4,3,4,4,12,3,0,11,13,3,1
Cell0217,7,4,7,2,3,4,10,6,5,10,5,3,4,1,7,5,2,4,1,6,2,2,9,2,0,5,6,6,13,9,7,9,11,5,12,3,5,5,2,5,3,9,3,8,7,14,7,5,8,9,1,2,5,9,5,12,2,4,6,14,4,15,5,12,6,2,5,1,6,15,3,12,0,4,18,1,2,2,6,0,6,3,6,8,2,3,3,5,6,6,3,4,2,1,4,1,7,4,0,2,9,4,4,2,2,3,4,4,4,4,2,9,4,9,9,1,4,1,7,0,3,5,4,2,1,3,4,2,3,16,2,2
Cell0218,2,2,6,3,2,5,11,8,3,6,2,1,4,1,4,2,2,5,0,3,7,5,4,5,3,1,8,1,5,2,1,3,0,0,5,7,4,0,7,3,1,5,4,11,6,19,2,5,12,12,3,7,9,1,2,12,0,5,11,9,5,10,4,13,6,3,7,6,2,5,2,15,2,0,15,1,1,3,4,3,3,1,9,2,2,3,8,4,2,11,3,4,4,4,4,1,8,3,3,1,1,10,6,5,1,2,6,6,6,4,2,14,2,10,2,4,4,7,5,2,4,4,3,0,3,7,4,0,8,7,4,5
Cell0219,1,1,12,3,6,8,7,3,2,5,6,4,7,4,5,9,4,7,4,7,3,4,2,6,2,1,8,3,2,3,3,3,0,2,12,6,1,1,6,13,4,8,1,7,11,7,6,6,3,6,8,4,2,7,12,24,10,0,1,4,10,23,10,16,13,3,5,9,12,19,7,23,3,2,4,2,1,2,4,2,7,1,5,7,2,5,0,5,2,15,2,4,4,1,5,1,3,4,1,1,8,3,5,4,4,5,2,8,8,1,1,8,1,9,1,1,6,3,9,0,5,3,5,4,2,5,2,1,6,2,6,2
Cell0220,4,6,6,3,1,3,16,2,9,6,4,1,5,1,7,2,3,3,0,2,2,4,3,3,2,3,7,3,2,5,2,2,2,0,6,7,4,4,6,6,0,6,4,9,9,7,8,5,2,5,4,7,1,12,6,13,4,1,8,8,7,13,3,5,2,5,3,5,6,6,1,4,7,9,5,2,2,14,4,3,8,3,9,7,6,1,8,6,4,3,4,4,2,2,3,10,6,2,3,4,5,11,8,9,3,0,7,1,3,3,8,6,0,15,1,6,4,3,3,4,4,5,4,1,5,2,3,3,4,4,0,1
Cell0221,5,5,4,5,3,6,3,3,5,6,11,2,2,5,2,6,3,6,3,4,2,8,8,0,4,6,3,3,5,4,1,7,9,3,8,2,3,1,3,8,0,7,4,5,4,12,9,7,7,2,0,2,4,6,6,5,2,3,5,10,7,5,5,17,5,1,5,2,9,10,3,22,0,0,12,1,0,1,3,1,3,3,10,3,2,3,1,4,3,12,0,4,9,0,2,5,5,4,0,2,9,2,6,5,1,0,8,5,7,0,1,13,4,7,2,6,2,2,5,4,4,6,1,3,4,5,3,7,12,2,2,2
Cell0222,3,2,5,0,2,6,8,7,1,17,9,6,3,4,4,11,1,9,2,6,2,3,11,1,3,6,7,2,4,1,0,4,2,2,2,4,4,1,3,8,4,5,6,9,10,15,6,5,4,13,2,7,4,4,15,28,11,0,2,1,20,25,16,18,5,0,12,3,10,13,9,25,3,0,13,0,1,3,5,3,0,1,7,11,2,8,2,6,3,10,1,6,1,2,4,0,7,9,1,2,5,7,6,8,1,5,3,3,2,3,2,11,7,10,0,0,4,4,8,2,4,6,6,3,5,10,12,9,5,4,2,4
Cell0223,9,16,3,8,1,15,16,17,11,4,0,4,7,3,2,4,4,6,0,5,1,0,7,3,2,0,8,5,5,5,1,11,5,3,14,2,13,24,13,11,4,26,7,3,0,6,10,4,4,4,10,5,1,9,4,7,1,3,11,12,4,8,2,9,3,5,3,3,5,7,5,12,14,5,1,11,8,16,1,9,16,0,4,16,2,5,2,7,4,7,2,9,3,2,4,5,7,4,1,8,1,10,14,14,2,6,6,4,6,5,2,13,3,31,1,4,3,0,5,1,6,13,1,5,2,0,8,1,9,6,2,2
Cell0224,2,3,10,0,7,3,8,5,4,4,2,2,7,5,5,4,1,2,7,5,3,12,4,10,2,6,7,1,1,3,3,1,3,1,10,8,5,3,5,5,3,15,8,12,7,9,7,9,2,4,5,9,0,5,2,9,1,2,10,5,5,4,1,17,9,2,8,3,5,13,6,15,7,5,3,5,3,10,6,3,5,2,9,4,4,3,2,3,1,7,1,2,3,2,3,7,5,5,2,1,3,2,10,2,1,3,4,3,6,10,5,6,4,9,1,5,2,0,3,3,5,13,6,2,6,5,0,1,6,2,3,2
Cell0225,5,8,2,11,2,15,25,11,5,2,3,3,3,2,1,4,2,5,4,3,1,5,5,4,4,2,5,16,29,12,9,22,15,8,27,2,20,18,8,9,6,29,8,1,4,1,10,3,2,0,6,6,2,12,6,6,0,5,8,7,2,3,5,10,6,9,1,3,9,11,5,8,14,4,2,6,2,18,0,8,12,1,3,17,1,5,2,3,1,13,3,9,3,3,7,4,8,3,1,6,1,12,12,8,3,5,7,3,9,3,9,4,2,11,5,8,3,4,5,5,0,12,4,0,1,8,6,3,4,9,12,6
Cell0226,4,4,8,0,4,4,9,4,9,8,5,4,3,1,2,8,1,7,4,8,2,10,6,7,8,6,8,2,0,3,3,3,3,0,7,5,5,10,1,4,3,13,7,11,10,3,5,0,3,6,2,9,1,8,2,5,0,2,13,9,5,7,4,11,11,2,6,0,9,9,8,13,10,2,4,2,2,1,2,3,7,2,13,3,4,0,5,12,2,9,3,0,4,2,8,5,5,1,0,8,3,6,6,5,3,4,6,2,3,10,6,5,2,9,1,4,9,2,6,3,7,7,6,3,7,2,7,2,0,6,2,2
Cell0227,5,7,3,8,1,14,20,12,10,4,1,4,6,1,0,4,2,6,0,6,2,3,5,1,0,1,5,8,9,7,1,10,9,6,11,1,24,9,13,16,4,24,13,4,2,4,8,1,3,1,12,14,1,8,2,11,3,3,8,9,3,8,4,17,9,3,6,3,6,14,4,20,10,7,0,9,4,19,2,13,9,0,8,7,1,4,3,5,1,13,6,8,0,6,2,6,7,5,1,9,1,10,22,12,7,10,9,0,7,5,3,6,4,18,5,2,6,4,5,3,6,8,7,9,1,3,4,6,3,4,5,0
Cell0228,3,2,8,5,4,2,9,6,10,40,24,7,3,10,8,8,4,17,2,1,1,3,6,2,1,2,5,0,2,2,1,3,3,0,4,6,1,0,4,3,0,0,3,47,28,14,3,9,9,8,3,4,6,3,1,6,1,4,11,8,7,5,0,8,0,8,5,1,1,5,4,3,4,2,2,1,4,4,3,2,5,2,6,7,3,6,1,6,3,7,1,1,5,1,3,2,5,6,4,2,11,3,2,1,3,2,2,4,4,4,2,3,4,3,1,1,6,3,4,3,8,23,0,0,0,8,7,0,1,3,3,5
Cell0229,2,1,8,3,3,3,6,8,5,13,13,10,4,5,4,10,1,7,3,1,1,1,14,7,2,1,6,2,4,6,6,2,3,1,10,1,1,1,0,2,0,1,0,37,17,8,5,2,4,11,8,7,1,7,2,8,2,1,7,6,5,14,0,3,0,5,4,3,5,5,2,8,5,4,9,1,2,6,2,2,4,1,6,9,1,3,1,2,0,6,1,1,5,1,0,2,6,2,0,1,5,5,7,3,2,1,3,3,9,2,7,9,0,2,2,4,8,4,9,0,4,18,1,5,2,1,4,7,1,7,2,3
Cell0230,0,2,8,0,5,2,4,6,2,8,2,5,5,5,4,2,5,5,6,6,4,9,3,6,7,7,7,0,6,3,0,4,1,2,6,10,2,1,6,4,1,7,2,12,9,7,12,7,5,10,1,3,5,8,1,13,4,2,7,12,4,10,4,11,3,4,2,1,10,7,4,10,5,4,2,3,1,10,3,7,5,4,10,3,1,4,5,8,2,4,1,6,2,5,7,5,10,2,1,3,12,3,1,1,1,1,3,10,2,1,2,7,1,3,4,3,0,6,12,0,0,8,1,0,4,3,5,3,7,12,10,3
Cell0231,3,4,9,1,3,2,6,4,2,12,6,3,3,4,5,8,0,6,2,3,3,5,6,7,5,4,5,2,5,1,2,4,2,3,10,8,2,2,4,6,3,6,4,7,11,15,3,5,0,3,5,5,2,7,12,22,7,1,0,3,20,22,10,27,13,5,7,3,8,17,11,23,4,2,12,3,3,0,3,0,6,3,7,2,2,6,2,8,3,9,2,3,9,2,3,1,4,3,2,1,3,7,3,8,0,5,5,4,3,3,6,3,4,14,4,0,3,2,4,4,4,5,9,3,5,3,3,3,1,7,1,4
Cell0232,5,3,6,5,5,9,13,5,4,8,6,4,5,0,2,7,2,8,0,2,1,4,5,1,1,8,5,1,4,1,2,3,1,0,5,4,1,4,0,5,1,3,5,9,8,8,8,3,3,2,3,7,1,3,3,11,7,1,7,3,5,9,5,8,3,5,2,2,4,7,2,4,6,2,7,2,4,8,2,3,12,2,11,4,4,1,4,9,4,5,2,11,2,4,7,7,6,0,0,3,1,9,8,4,1,3,3,2,8,3,1,7,6,11,6,2,4,7,5,5,5,7,7,4,0,15,8,2,1,4,1,7
Cell0233,3,1,5,3,1,0,10,4,2,6,3,1,7,6,2,2,0,7,1,2,3,4,8,1,3,5,6,0,4,1,4,6,5,2,8,3,5,9,6,8,2,11,3,5,8,18,4,7,8,11,1,4,8,6,1,9,4,2,10,6,7,12,5,13,8,8,7,3,3,5,4,9,1,1,15,1,4,2,8,4,2,3,9,6,3,1,2,5,1,4,5,9,4,2,6,2,10,3,1,1,9,6,4,6,1,1,4,8,4,4,8,5,5,10,6,2,3,4,3,2,2,13,3,2,4,6,7,1,8,6,3,12
Cell0234,11,5,3,7,2,14,10,14,12,3,2,4,5,1,3,3,3,2,2,1,1,5,7,3,1,2,5,16,15,4,6,17,8,11,12,1,30,20,23,21,11,65,24,1,0,4,8,2,5,3,5,8,1,15,3,10,5,1,9,7,6,7,3,10,6,1,6,3,7,13,2,8,12,0,1,4,3,9,3,4,9,1,2,12,1,7,1,4,1,12,4,5,2,3,4,4,13,1,4,3,2,5,11,12,2,3,8,3,5,3,4,6,2,18,0,1,3,4,4,0,11,3,0,3,3,5,0,4,9,3,4,2
Cell0235,0,1,12,3,1,5,7,4,3,6,4,4,1,2,4,5,3,9,1,3,2,2,6,2,4,2,9,1,6,4,0,2,4,0,10,3,2,3,1,3,1,7,3,8,8,5,3,3,3,6,5,11,0,10,13,20,11,0,2,3,14,15,9,18,8,6,9,2,13,18,3,16,1,8,11,2,5,3,4,1,4,1,8,4,6,5,2,4,3,10,3,2,5,0,2,4,3,10,0,1,4,11,1,2,1,3,7,6,18,0,1,6,2,9,7,2,1,2,3,2,9,12,4,4,4,4,6,2,9,4,11,1
Cell0236,10,14,0,7,0,16,21,15,3,8,3,2,6,0,3,4,1,2,3,6,1,7,5,3,1,2,4,11,10,8,5,13,11,7,17,2,27,24,19,22,11,54,13,0,1,5,8,1,1,1,10,10,2,12,4,6,2,1,6,7,9,11,6,4,3,4,2,0,7,11,0,8,14,16,4,8,6,24,1,9,15,2,4,14,0,8,3,6,1,14,1,9,3,2,7,10,12,3,2,7,5,14,9,19,4,7,9,3,9,0,5,5,2,5,2,1,3,1,6,5,3,17,9,1,3,8,8,6,5,3,2,0
Cell0237,3,1,7,3,4,2,6,3,3,15,12,6,3,3,7,6,1,10,1,4,3,4,11,2,0,1,4,1,6,1,6,4,3,1,17,2,1,1,1,1,0,2,4,32,21,6,4,2,6,4,2,5,5,11,2,9,2,1,10,9,4,6,8,6,2,3,5,0,6,3,4,3,1,2,11,2,4,3,2,0,2,3,6,11,1,4,2,2,2,13,1,0,8,1,0,1,2,9,2,0,8,3,3,5,2,1,5,4,3,3,1,16,5,5,5,2,1,2,3,2,1,11,1,1,4,10,2,3,3,4,4,1
Cell0238,3,2,6,4,3,11,12,5,6,11,10,7,1,7,4,7,3,7,4,5,8,5,11,2,4,3,10,1,6,2,2,6,0,0,5,2,2,4,4,8,3,7,2,13,6,13,9,3,5,4,8,4,3,5,11,20,6,0,1,0,14,11,7,18,8,1,9,2,5,10,4,22,2,3,8,2,3,2,5,3,11,5,2,5,3,4,3,4,2,6,2,3,7,1,4,2,5,4,0,1,2,6,7,9,0,3,7,6,3,2,7,12,3,18,3,6,5,1,4,1,10,7,4,6,9,2,0,3,5,8,4,7
Cell0239,2,2,7,3,1,3,4,3,0,7,5,3,3,3,3,6,2,4,3,5,4,4,2,5,5,5,11,5,4,5,3,4,4,1,8,7,3,3,0,12,3,5,1,9,8,9,6,2,4,3,5,7,1,6,3,2,1,2,13,10,6,9,3,8,6,3,9,6,10,7,5,13,8,4,4,2,2,10,1,3,8,4,15,2,4,2,3,10,3,5,3,6,2,3,3,7,11,3,3,0,9,6,3,2,1,1,6,7,4,2,1,11,1,6,1,0,3,1,7,1,6,4,4,2,5,5,4,5,10,4,1,0
Cell0240,4,2,6,0,2,7,7,12,6,23,10,6,3,9,12,7,3,11,1,4,4,2,10,2,1,1,9,2,5,1,3,9,7,3,12,5,1,2,2,0,0,3,1,29,22,10,2,5,9,7,1,5,1,3,0,7,0,3,7,19,2,4,2,6,4,5,3,1,4,4,2,3,1,2,15,1,4,2,1,4,1,3,3,8,3,7,5,6,2,5,0,0,4,3,3,7,4,3,1,2,8,6,3,7,2,3,1,3,10,6,4,10,1,7,2,1,0,1,11,3,1,6,1,2,4,2,4,4,6,3,1,2
Cell0241,5,9,6,4,0,8,13,2,4,4,3,3,3,2,3,8,2,6,2,5,6,1,6,4,1,3,12,0,9,4,2,10,3,2,6,7,8,2,9,5,0,10,9,5,5,17,4,10,11,10,2,4,4,4,3,12,2,2,6,9,7,9,3,5,3,5,8,2,2,12,7,10,3,2,12,3,4,3,3,2,3,1,8,8,2,4,2,4,4,8,1,6,9,2,1,5,12,7,3,5,12,5,4,3,1,0,1,4,12,4,4,2,0,9,2,1,2,2,2,1,3,14,2,4,3,7,5,0,1,10,2,1
Cell0242,2,5,10,3,3,4,7,5,3,15,12,4,0,0,3,11,2,6,6,4,4,4,6,2,0,3,7,0,5,1,4,8,3,0,9,4,0,1,3,2,0,3,5,41,27,8,5,2,2,4,1,11,4,7,1,2,0,3,8,12,1,4,1,5,1,1,5,3,3,1,2,10,2,2,8,4,2,2,6,1,7,0,3,10,2,7,1,4,0,10,2,1,4,0,0,3,6,5,2,2,8,6,4,7,0,2,2,6,0,1,0,2,2,3,7,4,3,0,4,2,6,2,4,2,19,7,6,7,2,4,2,2
Cell0243,3,4,3,3,2,9,12,9,6,9,4,2,5,1,4,8,1,7,2,6,2,11,6,6,3,2,8,1,7,1,2,5,3,3,9,4,5,7,9,9,5,12,5,3,2,17,4,11,13,11,1,2,1,7,1,8,3,1,6,7,10,8,3,9,4,1,9,3,4,8,3,16,1,2,14,1,2,3,0,1,1,0,6,15,2,7,3,8,1,12,2,5,0,1,1,1,7,7,1,1,10,7,4,6,0,1,4,8,8,4,4,7,4,4,4,4,1,0,9,3,10,15,3,1,2,6,6,2,3,0,1,6
Cell0244,8,1,4,4,3,9,6,9,3,13,8,5,0,4,2,10,4,6,3,3,3,4,4,1,4,6,5,2,4,3,1,4,2,0,11,5,2,1,1,1,0,1,5,42,17,5,2,4,3,1,5,15,2,5,1,4,1,3,12,11,4,5,2,8,1,10,2,3,3,1,1,3,2,3,10,2,4,5,2,2,3,1,4,7,1,4,2,6,0,3,3,2,7,1,2,2,2,9,1,3,6,6,4,4,1,0,3,4,13,2,1,4,4,11,6,3,4,3,9,2,10,12,2,0,1,3,6,1,7,2,8,3
Cell0245,6,3,8,3,1,1,7,7,5,11,12,6,1,5,5,10,2,2,4,4,2,1,7,4,3,4,6,4,3,3,1,4,3,1,4,3,0,2,5,4,0,3,1,29,16,14,6,8,1,4,1,4,2,10,3,5,1,9,6,14,1,4,1,5,5,5,5,0,3,11,6,10,2,1,8,2,1,4,2,0,6,0,8,4,2,4,2,2,1,14,0,5,4,2,1,4,3,7,2,1,3,4,2,4,2,2,4,5,1,5,5,8,3,11,5,2,1,6,3,3,10,4,3,2,8,1,2,1,3,7,5,2
Cell0246,8,3,3,4,2,10,15,4,5,6,1,6,5,2,1,7,1,6,8,4,3,4,2,4,0,1,2,3,8,4,5,8,4,0,9,1,7,6,8,7,6,11,3,9,2,18,4,6,3,8,0,5,5,7,4,7,5,2,4,5,5,9,6,12,9,2,8,1,7,6,1,16,0,0,18,0,3,1,5,0,1,4,7,2,1,6,1,3,0,3,3,6,3,5,6,6,11,5,2,1,6,5,7,6,1,4,4,7,11,8,6,6,6,4,1,2,2,4,6,4,7,7,3,2,4,5,2,0,7,3,6,0
Cell0247,11,13,0,11,1,8,16,14,9,2,2,3,8,3,2,3,0,1,1,0,1,1,8,1,4,2,7,12,5,7,3,4,5,3,8,1,30,22,15,24,8,43,17,1,0,3,12,6,2,3,12,13,5,9,2,7,3,4,8,16,9,3,2,6,2,5,8,1,5,3,2,7,13,7,3,5,8,16,0,10,5,1,1,14,1,4,1,3,0,12,1,6,5,1,2,3,12,2,1,7,3,8,21,7,8,7,21,2,1,6,1,11,2,7,3,0,1,5,10,4,5,2,0,1,5,8,3,3,4,1,5,10
Cell0248,1,3,8,1,6,3,4,5,4,19,6,3,3,7,3,8,2,5,2,5,2,5,8,3,4,1,4,2,6,1,1,5,3,2,5,3,6,4,7,8,2,8,1,5,8,11,4,6,5,12,3,8,3,7,20,37,7,0,4,3,18,23,16,19,5,3,2,2,8,9,7,14,4,4,10,4,1,2,4,0,5,1,7,9,2,7,1,5,0,5,1,2,5,1,2,2,4,3,0,1,6,6,3,6,3,1,2,4,11,2,5,4,3,5,1,2,12,1,6,7,4,8,4,4,10,1,5,2,4,2,0,0
