"","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G052","G053","G054","G055","G056","G057","G058","G059","G060","G061","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G079","G080","G081","G082","G083","G084","G085","G086","G087","G088","G089","G090","G091","G092","G093","G094","G095","G096","G097","G098","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"cell0032",43,61,70,18,26,28,49,32,53,47,50,22,28,37,32,29,64,27,21,29,37,21,51,13,49,29,21,47,62,50,39,42,35,14,30,32,36,37,30,51,3,0,8,3,3,5,3,1,2,4,5,1,3,1,4,2,3,2,10,2,0,3,2,0,5,6,11,2,13,13,1,3,4,6,4,1,6,2,13,5,2,0,9,1,1,8,0,6,1,1,3,4,6,3,5,6,4,8,2,5,2,1,0,2,8,11,1,5,5,1,3,4,5,1,2,0,6,2,19,11,3,0,4,11,4,15,4,9,0,2,6,10,2,1,1,1,3,7,4,14,1,4,8,3,12,7,10,3,4,3,4,1,1,6,3,4,6,11,6,6,4,3,0,2,4,1,10,5,1,0,0,11,4,1,3,5,0,20,3,10,6,5,0,1,8,11,7,7,1,8,8,7,2,10,0,13,8,1,7,1
"cell0033",42,60,66,18,22,23,51,44,52,58,45,24,25,28,42,39,52,28,28,32,20,27,36,12,44,36,29,58,43,53,22,36,31,24,15,31,45,38,26,57,3,0,2,3,3,2,1,0,2,10,2,0,2,6,5,0,2,11,11,6,0,0,1,1,4,4,6,0,12,21,3,5,4,2,8,0,3,1,12,2,4,0,7,1,1,8,0,9,2,0,2,4,6,5,8,4,7,6,1,7,2,1,1,1,14,4,3,3,4,0,2,7,3,0,1,3,1,0,14,7,1,1,4,10,4,6,3,12,1,2,5,7,2,2,1,2,1,2,2,14,0,1,4,2,10,14,5,3,15,0,6,2,2,9,4,6,4,8,3,3,1,2,1,0,4,0,9,9,0,0,1,7,5,4,3,18,0,18,3,5,2,7,1,2,4,9,19,4,1,11,4,12,4,10,0,21,10,7,5,2
"cell0034",41,42,88,18,26,21,44,34,51,38,48,22,41,27,48,23,57,29,34,42,40,29,36,10,66,26,30,51,46,63,49,40,27,11,32,39,36,30,29,54,3,0,3,0,2,0,1,1,3,4,9,1,2,4,4,0,3,10,11,3,0,0,0,1,2,8,9,6,13,20,3,6,5,3,5,0,10,1,15,2,3,1,8,1,0,9,0,10,3,2,1,5,4,8,4,7,4,6,2,6,4,1,1,1,5,8,2,2,5,5,3,7,4,7,2,1,4,2,14,9,4,0,5,8,4,10,2,14,1,3,7,3,3,1,0,4,2,3,5,20,1,4,11,4,10,16,11,3,13,1,7,2,0,7,1,1,3,12,2,3,2,3,0,0,6,2,8,13,0,1,1,12,1,3,8,2,0,22,1,1,1,2,0,0,6,12,14,3,0,5,15,11,3,7,1,13,8,1,5,1
"cell0035",59,63,57,18,23,18,48,24,44,44,64,40,33,32,51,41,42,27,19,29,32,42,30,14,56,28,29,59,53,51,34,37,35,26,24,29,46,30,25,40,1,0,4,2,2,1,2,1,2,6,7,5,0,3,3,1,1,7,13,7,0,0,1,3,5,6,12,0,9,17,1,4,6,5,8,0,8,3,7,3,3,2,10,6,1,5,0,7,0,1,2,5,2,3,2,5,7,7,2,4,1,1,0,1,6,19,4,0,3,5,3,3,2,3,1,2,4,0,17,9,2,0,5,10,3,6,6,10,1,1,5,8,4,0,0,3,5,6,7,13,3,1,12,8,7,12,6,5,20,1,6,2,0,12,4,3,5,8,3,4,2,1,0,1,6,0,5,16,0,0,0,11,3,4,4,12,1,13,3,6,4,5,2,1,5,3,12,3,0,6,7,16,4,9,1,13,15,1,2,0
"cell0036",46,46,75,17,22,25,38,42,56,45,64,25,43,31,39,24,54,41,31,29,36,31,45,19,47,29,29,55,74,39,33,41,27,17,24,26,29,26,24,40,2,0,5,4,0,0,0,0,3,8,6,3,1,6,7,1,0,4,8,2,0,2,1,5,5,3,7,2,12,12,5,3,6,2,3,0,11,2,6,3,1,1,6,2,1,9,0,8,3,0,0,5,8,3,6,1,5,7,2,4,4,5,1,2,11,11,1,6,5,1,5,2,4,0,4,1,4,2,14,4,3,0,0,12,1,10,4,12,0,3,7,8,2,0,2,2,2,5,7,17,0,7,5,6,7,12,11,3,12,5,3,4,0,6,3,5,3,2,2,2,3,3,0,0,4,1,4,6,1,3,1,7,5,3,4,13,1,14,1,2,5,4,0,0,4,6,9,7,0,5,4,5,5,10,1,19,18,2,7,1
"cell0037",44,58,65,19,21,19,45,38,58,42,54,20,33,24,35,38,53,28,22,34,26,30,34,20,58,28,28,61,53,50,32,40,23,16,36,28,28,31,25,46,3,0,7,3,3,4,1,2,2,8,7,0,2,3,3,2,4,14,13,1,0,1,1,1,5,5,10,1,19,23,2,2,9,4,3,0,5,0,14,5,1,1,8,1,2,9,0,7,1,0,1,6,5,3,7,4,1,6,1,5,5,0,0,2,4,5,3,4,8,2,1,3,3,4,3,1,0,4,7,3,4,1,3,5,3,7,8,13,0,2,3,7,1,1,0,6,1,6,7,11,0,7,12,2,5,13,10,7,8,1,5,1,1,9,3,4,0,9,3,4,2,2,0,1,9,1,2,6,0,0,0,16,1,2,4,17,0,15,0,4,4,7,0,0,3,10,10,4,0,8,6,8,2,3,0,19,7,3,8,0
"cell0038",54,50,69,13,23,24,41,34,53,53,46,22,26,21,50,22,53,23,24,35,24,28,36,19,39,29,19,50,44,53,37,46,33,13,15,20,43,35,31,71,1,0,6,4,3,3,0,0,2,8,6,3,2,5,6,4,3,8,13,3,1,5,1,5,4,7,12,0,5,13,1,5,5,2,7,0,5,2,16,3,2,1,10,2,0,12,1,10,2,2,1,9,11,5,9,7,7,11,3,6,2,3,0,1,12,10,2,1,8,2,0,7,1,3,1,2,8,0,10,8,4,1,2,11,4,7,7,11,2,3,8,8,4,0,3,4,1,8,5,13,0,4,12,8,12,12,8,2,12,1,7,2,0,6,5,1,3,5,7,7,0,1,0,0,6,1,9,4,1,0,1,11,1,6,7,5,0,22,3,2,2,6,2,0,6,6,16,4,2,8,6,8,6,12,1,18,11,0,7,0
"cell0039",48,56,63,16,28,20,36,38,45,55,44,15,33,26,46,22,52,20,29,37,30,27,44,14,47,25,25,57,55,50,42,51,29,12,20,32,27,30,32,45,1,0,8,2,4,3,0,2,4,5,9,2,0,4,1,2,0,9,12,5,1,3,2,2,7,4,10,0,12,14,3,5,5,4,5,0,1,1,16,6,0,0,13,3,1,10,0,8,2,1,0,8,8,2,6,4,6,3,1,3,2,0,0,0,7,9,3,2,7,1,0,4,1,2,3,1,2,2,11,6,0,0,3,11,2,9,2,10,5,0,6,9,2,1,1,2,1,6,4,14,0,9,9,3,8,14,7,6,10,4,7,4,0,3,5,4,2,7,5,2,1,4,0,2,5,0,5,10,0,3,0,13,3,1,5,14,1,22,2,1,4,6,1,0,4,3,11,2,1,9,9,9,2,10,1,21,6,4,2,3
"cell0040",55,63,76,13,30,31,35,36,36,34,42,23,31,28,45,27,54,23,24,40,34,32,47,18,44,25,20,43,58,56,50,37,29,12,41,34,45,33,25,37,3,0,6,3,1,2,2,2,3,4,4,1,4,2,6,2,3,9,14,1,1,4,0,4,4,4,11,1,9,19,1,2,6,3,6,0,4,2,9,5,6,1,9,4,1,15,0,12,0,1,1,6,1,4,8,5,8,16,0,2,2,1,0,0,4,9,1,3,2,1,1,5,2,4,2,0,2,2,7,4,4,1,6,14,3,11,7,19,1,2,3,5,5,0,0,3,1,5,4,15,0,9,4,3,8,18,7,5,9,2,0,3,0,7,4,2,1,5,4,5,5,2,0,0,0,0,6,12,0,1,1,12,6,4,9,10,0,23,5,5,4,11,1,0,6,7,3,7,0,2,8,16,4,12,1,18,7,1,8,3
"cell0041",53,57,53,12,21,34,31,30,53,38,51,29,37,28,47,22,45,30,30,35,30,35,34,20,60,20,28,50,62,58,39,53,37,13,26,28,31,41,36,43,4,1,7,4,0,4,0,2,3,9,12,1,1,5,3,2,3,13,11,2,1,1,1,2,3,4,8,1,9,7,1,2,5,4,10,1,7,0,8,2,2,1,6,2,2,11,0,6,2,0,0,7,7,2,7,4,4,8,1,5,2,2,0,0,8,9,1,1,6,2,2,2,3,6,2,1,3,2,9,6,2,0,5,11,2,8,3,19,1,4,3,7,3,0,1,3,1,3,5,18,0,4,7,6,13,13,8,2,6,1,0,1,0,6,1,1,2,9,3,0,1,3,0,3,3,1,5,5,0,1,1,12,1,5,7,7,1,27,0,3,6,5,1,0,8,7,19,6,0,6,8,9,2,8,0,16,8,5,7,1
"cell0042",56,47,73,16,25,28,44,28,47,37,40,27,35,26,37,34,54,25,25,33,30,26,48,27,52,30,17,48,39,57,35,58,23,10,21,37,32,40,40,34,2,0,4,0,3,3,3,1,3,6,2,1,1,5,4,3,3,3,18,1,0,4,2,1,4,4,11,1,12,18,2,2,5,2,7,0,7,0,17,4,4,1,8,1,0,8,0,9,0,4,1,6,7,4,3,2,3,14,2,6,1,3,1,1,9,4,1,1,5,1,1,5,1,4,3,2,7,2,6,7,4,0,9,10,1,2,2,13,1,3,8,7,3,1,1,2,4,3,5,16,1,2,6,3,10,12,11,2,8,0,14,5,0,7,2,8,3,6,5,5,1,1,0,0,5,0,10,5,0,0,1,6,4,3,9,10,0,19,4,1,2,7,1,0,8,5,11,4,1,11,5,4,4,10,3,15,7,4,5,4
"cell0043",47,57,73,16,29,15,50,34,56,35,50,25,31,27,41,36,52,33,30,30,40,23,28,17,42,25,22,40,50,51,42,40,34,16,32,29,40,40,27,36,0,0,6,4,1,5,0,1,5,4,7,2,1,3,4,5,4,8,13,1,0,3,1,0,12,4,11,1,14,13,5,6,5,1,4,0,8,1,13,1,4,0,9,1,2,16,0,5,3,2,3,5,7,5,6,3,4,7,0,12,1,0,0,2,10,8,5,1,5,0,2,5,0,2,0,1,3,0,12,7,1,0,5,9,2,8,0,16,1,1,7,7,5,0,0,3,2,10,3,13,0,1,11,3,12,9,9,3,12,2,4,2,2,8,3,3,5,8,2,4,0,1,0,1,6,0,13,3,0,2,1,8,4,6,4,14,0,8,1,3,5,8,3,1,6,8,16,6,2,4,4,13,4,20,0,14,10,2,8,1
"cell0044",47,43,80,20,24,29,46,28,53,52,57,21,39,35,47,23,63,21,36,41,33,29,37,16,60,28,26,53,57,59,33,34,36,18,22,30,29,38,25,51,4,1,5,4,2,4,0,6,1,4,4,1,1,5,4,3,3,14,10,1,0,1,5,2,4,4,8,3,11,15,6,5,8,3,6,0,12,0,13,4,0,0,14,3,3,9,0,7,3,2,1,4,6,4,3,5,4,10,0,4,3,2,0,1,14,13,4,5,3,0,0,4,0,6,2,3,5,1,10,6,3,1,7,11,1,9,3,15,1,4,6,10,3,0,1,5,3,2,6,13,1,7,16,5,7,15,7,3,11,2,1,1,0,6,4,5,4,4,4,3,6,1,1,3,4,0,6,10,0,0,0,11,4,3,6,9,1,21,1,1,3,7,1,0,9,13,18,6,2,5,6,10,2,3,3,15,12,1,1,2
"cell0045",48,53,81,15,31,17,43,35,53,35,51,21,32,36,36,24,43,35,28,39,18,27,30,12,42,23,25,55,54,51,33,47,36,22,37,36,35,41,29,43,3,0,6,3,2,5,0,1,4,6,5,3,2,2,3,0,2,9,14,2,0,1,0,2,7,4,19,2,11,16,2,5,3,4,7,0,9,1,15,9,2,0,10,0,0,14,0,9,3,0,2,8,5,3,7,4,4,7,2,6,6,1,3,1,11,5,3,5,7,1,1,3,3,4,3,1,5,2,20,3,2,0,6,14,1,15,3,10,0,1,8,7,3,2,2,3,3,11,2,20,1,8,7,3,9,16,2,1,14,1,4,2,1,1,2,8,3,5,3,5,2,1,1,0,6,2,6,6,1,1,0,9,4,4,11,9,0,17,0,3,8,9,1,0,6,4,18,4,1,6,5,13,6,10,2,18,8,3,4,1
"cell0046",52,47,60,17,23,26,44,44,50,41,52,17,35,32,40,23,40,32,28,33,22,18,34,16,55,21,26,40,49,51,32,50,46,13,25,37,42,33,26,56,5,0,7,6,3,5,0,1,2,5,6,0,2,4,2,0,1,5,14,1,1,3,1,4,4,4,6,0,7,10,4,5,3,3,4,1,9,1,19,4,1,2,8,1,1,11,0,8,3,0,0,5,2,5,4,2,7,5,1,3,0,2,0,2,7,11,3,1,5,5,1,2,4,3,0,0,1,2,12,6,0,0,1,11,2,4,3,7,2,1,7,7,3,0,0,3,3,6,9,21,0,2,13,2,9,19,8,1,7,0,2,2,1,12,4,5,5,15,3,5,5,0,0,2,4,3,9,11,0,2,0,1,1,4,3,7,0,17,3,3,9,6,0,0,10,8,16,5,1,8,5,7,2,5,0,20,6,3,5,0
"cell0047",45,59,67,17,21,25,58,34,49,52,44,22,33,27,45,28,52,32,28,35,31,32,32,11,55,25,25,63,59,50,42,41,43,18,28,36,34,36,34,43,5,1,5,4,2,4,0,0,5,6,11,0,3,3,9,1,2,12,12,3,1,2,0,1,7,6,2,0,13,20,2,4,5,4,5,1,4,2,11,9,3,1,5,2,0,12,0,7,1,2,0,4,6,1,5,1,4,6,0,6,4,1,0,0,7,6,2,2,4,3,2,4,1,5,1,1,1,0,9,11,2,0,4,13,3,5,5,15,4,2,7,7,5,0,0,0,2,4,7,16,1,3,6,9,7,13,9,5,11,0,7,3,0,6,4,6,2,9,4,4,2,2,1,0,5,1,6,13,1,2,0,9,6,4,5,11,1,24,2,5,8,6,0,0,5,7,12,3,0,2,3,9,4,8,0,9,5,1,4,0
"cell0048",38,44,76,13,28,24,52,39,43,45,48,31,28,31,45,32,48,31,26,36,38,31,34,12,51,26,27,43,53,55,41,45,38,11,27,24,30,28,27,37,3,0,8,2,1,2,0,1,2,3,10,0,5,4,0,2,4,11,11,2,0,0,0,2,11,5,5,4,10,23,3,3,4,3,5,0,6,1,12,5,2,0,7,1,2,12,0,9,2,0,0,3,6,4,2,5,5,11,1,5,2,1,0,2,12,8,0,1,5,0,4,5,1,2,0,1,4,2,12,10,2,1,5,7,3,5,2,17,1,1,5,9,4,0,0,2,4,3,5,17,0,4,6,5,10,5,9,0,14,1,6,4,0,3,3,3,5,4,5,2,2,4,1,1,4,0,6,14,0,1,0,11,3,0,5,14,1,13,1,1,5,9,0,0,7,5,16,7,0,2,3,10,3,8,2,14,7,4,5,3
"cell0049",39,47,64,14,15,21,43,41,62,40,48,30,32,28,29,30,52,15,27,44,40,28,30,8,43,32,25,56,59,45,35,37,24,28,21,27,40,42,23,55,2,0,7,3,4,4,0,2,3,4,10,2,0,7,2,3,1,9,15,2,0,1,1,3,3,3,8,2,10,10,2,4,4,3,5,0,6,1,16,7,3,1,9,3,0,6,0,9,1,3,1,6,4,7,3,1,3,13,2,9,4,4,1,0,7,13,1,2,1,1,2,3,3,4,6,1,1,0,14,10,1,2,4,11,4,10,2,19,1,2,7,8,3,0,0,4,1,6,5,13,3,5,6,7,5,24,5,3,9,2,6,0,0,10,4,4,3,7,3,6,0,1,1,1,4,1,11,8,0,2,0,6,0,2,7,8,0,16,2,0,6,4,1,0,7,9,8,3,0,7,4,5,5,11,1,18,10,3,5,1
"cell0050",56,56,69,24,28,16,41,37,47,47,46,21,28,34,42,39,60,15,24,31,41,14,36,17,45,22,28,46,41,49,19,30,30,14,26,28,42,30,37,44,8,0,4,2,3,5,0,2,2,3,7,0,0,3,5,2,2,6,8,0,0,1,0,0,6,2,12,4,7,15,4,3,7,4,3,1,9,2,14,3,6,2,12,3,2,10,0,11,1,4,1,5,3,4,13,4,2,5,2,6,4,1,0,1,7,11,1,1,4,0,2,4,1,2,1,2,5,0,9,6,3,0,7,13,3,12,4,11,3,1,5,8,1,1,1,5,3,3,5,22,0,4,10,4,8,8,7,5,6,1,10,2,0,5,5,2,4,9,3,2,0,1,0,0,6,0,10,13,0,0,1,14,1,2,4,9,1,18,1,2,5,8,1,2,5,5,12,4,2,7,7,5,3,6,1,11,5,0,4,0
"cell0051",49,44,64,16,25,19,43,33,55,42,45,25,35,42,54,37,57,21,30,36,31,21,35,16,47,35,25,49,72,41,41,38,23,8,28,32,40,45,23,51,7,0,7,4,2,1,1,1,2,7,8,4,2,5,7,1,3,11,9,1,0,1,0,4,8,2,12,4,16,14,3,4,3,5,4,1,11,0,14,5,5,1,7,1,0,9,0,8,1,0,1,6,9,7,1,3,2,7,4,10,4,3,0,2,7,10,0,1,3,3,0,8,3,3,4,2,2,1,10,7,1,0,8,15,6,5,0,21,3,1,12,5,2,0,2,4,3,5,6,16,0,7,7,7,8,9,10,5,5,2,8,4,1,7,4,9,6,10,2,5,3,1,2,0,1,0,6,11,0,1,0,7,4,7,8,6,0,20,2,2,3,6,0,0,7,6,13,6,1,4,11,8,2,5,1,16,7,2,7,0
"cell0052",54,54,62,14,30,28,38,32,63,46,73,32,38,28,45,32,42,27,26,39,28,24,40,20,41,28,31,55,61,59,37,32,33,12,32,31,44,36,32,46,2,0,4,3,2,6,1,0,1,8,7,3,0,3,2,2,1,5,21,1,0,0,0,1,8,4,11,2,12,14,1,5,5,0,7,0,5,0,10,5,4,0,8,2,2,12,0,6,3,1,1,8,11,1,5,4,3,9,0,3,4,1,0,1,5,6,2,2,3,2,0,7,2,2,0,1,2,0,20,5,3,1,0,10,5,7,4,15,2,1,4,11,1,0,0,2,0,5,2,14,2,2,6,10,11,9,14,5,13,3,5,3,0,10,7,2,2,8,4,4,1,0,1,0,7,0,9,9,0,1,1,8,3,3,6,10,1,19,5,1,4,6,2,1,8,5,19,9,1,6,7,6,1,6,2,21,14,7,3,0
"cell0053",63,55,90,13,29,24,52,43,54,37,41,19,23,34,36,16,58,31,34,27,28,35,42,16,47,23,24,47,57,38,37,40,34,15,19,36,41,38,23,43,3,0,7,2,1,2,1,2,5,3,3,0,2,3,6,0,2,9,14,2,0,0,1,0,6,3,9,0,11,11,2,6,7,5,5,1,8,3,16,1,2,1,8,1,1,12,0,6,1,0,1,6,5,6,9,1,7,6,3,6,3,1,2,3,10,9,3,2,2,1,3,7,1,1,4,0,6,2,7,10,2,1,4,14,2,9,2,19,2,0,5,6,1,0,0,3,5,5,8,17,1,4,13,10,8,16,7,6,13,2,3,1,0,6,5,4,0,9,0,6,0,2,0,0,3,0,8,4,0,1,0,11,2,3,2,7,1,11,1,2,2,1,0,0,12,12,20,3,1,8,15,11,4,13,2,20,11,5,5,1
"cell0054",52,52,77,17,33,23,39,25,46,38,40,24,29,22,37,25,53,33,28,36,34,21,35,19,50,23,20,52,53,46,37,39,25,21,29,35,26,44,31,51,2,0,5,6,3,1,1,0,4,8,7,3,1,1,4,0,1,6,16,2,3,0,0,1,3,3,10,0,16,16,2,4,10,5,4,0,7,2,15,4,2,0,11,2,0,9,1,8,3,1,0,9,3,3,7,7,3,6,1,4,2,0,3,2,7,7,3,3,2,2,1,4,2,5,1,4,1,0,14,3,3,0,7,7,1,8,3,9,2,1,6,14,4,0,1,2,2,6,3,15,0,5,9,2,8,8,7,5,9,3,6,2,1,7,6,4,4,5,6,2,2,2,0,0,0,2,8,12,2,2,1,9,4,6,8,12,1,19,4,4,7,5,2,0,4,10,11,3,2,7,7,8,3,9,0,18,8,3,4,2
"cell0055",46,42,77,17,37,26,44,26,49,47,50,30,28,41,51,30,35,23,26,43,33,24,38,18,47,35,25,54,53,67,32,43,28,14,30,30,28,37,34,48,6,0,4,3,2,2,0,1,3,6,3,2,0,7,4,3,5,10,7,1,1,1,1,3,5,4,11,0,12,20,2,9,6,7,6,1,6,0,11,6,2,1,12,4,1,7,0,7,0,0,1,8,10,3,8,5,2,9,2,8,3,1,1,2,4,10,0,5,5,2,1,4,3,5,5,0,1,1,18,7,4,4,6,10,1,6,7,8,4,2,9,9,5,1,0,3,3,5,4,20,0,9,5,6,10,15,13,6,8,0,3,3,1,8,7,3,5,8,4,2,2,2,1,1,7,1,6,9,0,1,0,8,2,5,4,15,0,17,0,3,3,4,0,1,4,8,11,5,4,7,14,10,3,15,1,12,7,3,7,1
"cell0056",60,57,67,18,28,16,46,34,46,40,47,16,27,38,37,18,57,28,21,41,35,29,32,12,57,26,26,43,59,52,41,38,31,22,27,28,33,35,21,43,4,0,4,1,2,5,1,2,5,6,7,1,0,2,5,1,1,8,8,4,0,1,1,3,6,10,7,1,9,12,4,7,5,3,4,0,4,0,10,10,4,0,12,1,1,8,0,2,3,0,0,12,3,4,1,6,3,10,3,9,4,0,0,0,10,1,1,4,5,2,0,5,3,3,4,1,2,0,11,5,3,2,2,12,3,7,2,12,1,2,7,6,4,0,1,5,3,6,4,16,1,4,3,5,7,13,13,4,15,3,4,1,0,4,1,4,3,2,4,8,3,0,0,2,5,1,3,10,0,0,0,3,1,6,4,12,1,14,2,2,8,9,1,0,7,6,24,2,0,4,10,12,3,7,0,15,9,4,5,1
"cell0057",56,55,59,22,34,25,44,27,49,47,43,26,32,37,34,30,56,32,26,42,34,32,29,17,55,21,23,52,53,45,37,44,38,19,19,29,32,34,32,52,0,0,5,2,3,4,1,1,1,5,10,3,1,1,4,0,1,10,7,2,0,0,3,2,6,4,6,4,11,15,1,2,5,5,7,0,10,4,15,3,5,0,12,1,0,6,0,8,0,1,4,4,1,1,2,1,2,9,0,4,5,0,2,1,10,10,4,1,2,2,1,6,3,2,2,1,5,1,5,9,1,1,3,7,2,13,4,9,0,1,3,6,6,1,0,3,1,8,5,26,2,3,10,6,13,14,7,3,12,0,4,1,1,8,4,1,2,6,7,4,0,3,0,1,3,1,5,7,0,3,1,6,3,3,6,16,0,13,3,3,2,8,2,1,7,6,12,7,0,8,8,8,5,9,1,22,9,2,6,0
"cell0058",46,56,80,19,30,24,48,37,48,33,40,30,34,39,42,35,44,26,19,42,29,24,38,16,52,15,15,43,57,53,34,36,34,17,22,28,37,53,30,54,5,0,11,4,3,6,2,1,3,1,7,3,3,4,6,0,4,8,10,3,0,2,0,3,3,3,10,2,20,11,4,3,5,2,4,0,6,0,11,3,7,0,6,1,1,2,0,6,2,1,1,6,7,4,2,2,3,11,3,8,2,2,0,2,10,13,5,0,8,0,3,6,3,8,2,3,5,1,15,7,4,0,3,10,3,9,4,21,0,4,5,8,3,0,2,6,2,6,4,21,1,8,5,5,4,13,10,1,14,0,3,3,3,7,4,3,3,11,4,4,6,2,1,0,2,0,10,8,1,1,0,10,0,0,3,11,0,11,2,5,6,8,0,0,8,3,17,6,3,9,10,7,4,9,2,16,8,1,6,2
"cell0059",51,45,58,17,30,27,48,34,49,51,48,28,29,27,43,28,41,30,21,45,26,23,29,6,33,22,27,53,50,47,29,41,29,16,39,32,47,43,26,46,1,0,2,3,1,5,2,2,3,5,3,0,2,4,5,4,3,6,12,4,0,2,1,2,5,5,9,2,10,10,4,2,11,3,7,0,7,0,14,4,3,0,6,1,0,5,1,7,0,3,2,4,4,5,8,4,2,10,1,1,2,2,0,4,4,10,1,2,5,2,2,5,3,5,1,1,3,0,13,9,5,2,1,7,3,10,7,11,1,0,10,8,3,0,0,3,4,9,5,11,0,2,10,1,10,27,9,5,12,2,7,3,1,5,1,12,4,8,10,6,3,3,1,2,5,1,7,8,0,1,0,13,5,4,6,6,1,20,6,0,3,9,0,0,7,5,14,6,0,4,10,8,2,12,1,14,7,1,8,0
"cell0060",55,34,68,13,29,25,48,23,44,41,42,24,22,37,39,24,45,28,25,38,34,35,42,18,56,22,35,55,62,51,30,38,24,17,29,27,40,27,36,50,2,0,14,0,2,4,1,1,1,3,4,1,1,4,6,2,7,9,13,2,0,0,1,0,7,6,7,2,11,13,5,4,10,0,5,0,10,3,12,3,2,2,16,1,2,11,0,11,2,3,1,7,5,3,6,8,5,6,5,2,2,0,0,2,12,10,0,1,4,0,4,4,5,4,1,4,3,0,19,11,1,1,3,13,4,15,3,17,2,1,8,4,3,2,0,3,4,7,5,20,1,3,3,7,9,16,8,5,12,1,5,3,0,5,6,5,4,5,6,5,4,2,0,0,3,4,4,5,1,4,0,11,2,6,5,6,0,17,0,3,7,8,1,0,6,5,14,0,1,4,5,7,3,3,2,19,10,0,4,1
"cell0061",54,38,80,8,23,24,54,27,54,41,53,18,26,31,37,14,48,22,25,41,38,31,36,18,65,17,23,64,66,59,44,40,28,20,26,21,40,45,27,38,6,0,1,3,1,1,0,0,4,4,7,1,5,5,2,1,2,15,12,0,0,7,1,3,3,2,5,1,14,19,5,8,5,3,6,0,5,2,16,0,4,1,9,1,1,9,0,6,3,1,1,6,6,4,4,4,4,4,1,5,8,0,1,0,10,11,2,6,5,0,1,5,6,5,1,1,4,1,12,10,2,0,6,11,2,9,3,14,0,5,6,16,4,1,2,5,0,4,6,12,2,6,3,2,10,13,10,4,12,0,8,2,0,4,3,2,4,4,1,5,4,1,1,1,6,0,7,11,0,0,1,8,1,4,8,13,1,15,1,4,4,5,0,0,15,7,17,4,1,7,7,12,5,8,0,9,3,1,5,3
"cell0062",50,63,82,27,23,26,40,38,33,47,51,32,40,30,39,26,59,30,30,35,39,32,46,21,56,33,18,47,68,56,42,45,43,17,27,23,46,43,18,41,4,0,5,1,1,5,1,1,4,2,10,2,4,5,4,2,3,11,8,2,0,2,0,2,2,6,10,2,8,18,3,6,4,3,6,1,8,0,21,5,3,1,18,0,1,11,0,5,3,1,1,11,5,3,5,6,4,13,1,6,4,3,1,1,10,10,0,3,4,0,3,6,2,3,2,0,6,3,22,8,4,1,3,10,2,11,1,13,3,2,10,11,4,1,1,2,1,7,4,12,0,8,10,3,6,8,4,1,13,2,8,2,0,7,3,0,3,9,3,3,2,0,1,0,7,2,7,10,0,0,0,5,2,2,5,10,1,17,1,1,3,4,1,0,2,5,13,6,0,2,13,12,3,12,1,12,8,3,4,1
"cell0063",53,54,77,14,30,22,44,36,49,43,46,21,33,22,33,16,65,34,30,38,33,25,53,22,54,28,23,54,57,47,31,48,32,11,37,28,31,34,34,53,1,0,5,3,2,3,0,0,5,6,8,3,1,2,7,2,2,12,13,2,1,0,0,2,7,4,9,4,6,24,3,4,5,3,6,0,4,3,16,6,3,3,5,4,1,6,0,3,3,7,0,5,11,2,6,8,2,11,1,4,2,1,0,1,7,11,1,2,7,3,2,0,4,5,3,1,6,0,20,6,1,1,4,9,2,9,3,10,3,3,5,9,2,1,3,2,2,9,5,13,0,3,9,4,11,10,8,4,14,0,7,2,0,9,7,1,10,6,2,8,3,0,0,0,6,2,10,4,0,0,1,10,1,3,5,15,1,12,2,2,1,6,0,0,8,5,14,6,0,10,8,11,3,8,1,14,7,4,5,1
