,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0052,5,6,1,2,4,7,26,2,3,2,6,2,1,1,2,5,0,5,2,1,2,7,7,4,2,2,11,2,2,2,4,1,3,4,1,0,0,4,0,1,31,2,3,5,1,0,0,3,0,4,41,2,37,3,1,1,224,0,2,4,31,0,38,5,4,6,4,4,5,2,3,4,1,10,0,5,9,1,2,3,1,0,8,1,1,0,1,1,5,6,1,18,2,21,13,22,2,8,0,0,3,37,22,10,1,1,8,1,2,0,1,5,0,7,23,2,1,10,0,3
CELL0053,13,9,1,5,1,5,3,5,1,3,1,2,4,2,3,1,0,10,1,1,0,4,2,3,2,4,2,5,0,2,0,0,1,2,1,3,0,0,5,1,10,0,7,0,1,1,12,4,5,3,20,3,2,1,7,1,37,2,0,4,4,3,38,0,1,5,0,1,1,5,0,8,1,12,0,1,2,1,4,3,0,13,4,2,2,0,1,1,5,5,0,12,1,5,0,18,2,2,4,3,6,2,10,4,1,3,3,6,3,0,2,14,4,5,3,15,1,3,2,1
CELL0054,3,3,5,4,10,2,5,3,12,4,6,0,0,2,0,4,2,4,2,0,2,3,2,5,0,4,1,4,1,2,2,0,0,2,0,1,2,5,3,3,0,4,4,2,4,2,6,6,0,2,7,2,0,0,1,0,15,2,2,3,0,2,1,2,3,4,13,2,0,3,1,2,1,4,2,3,11,0,4,1,2,1,1,3,3,0,7,6,4,0,2,8,4,1,0,0,1,2,2,1,4,23,2,0,0,0,1,2,1,0,1,7,16,2,1,1,0,4,0,2
CELL0055,1,2,6,35,0,17,1,4,10,0,8,1,0,0,0,3,27,9,2,0,1,1,7,2,3,7,0,4,0,10,2,23,0,8,0,2,67,2,9,1,0,3,4,10,9,4,4,1,2,4,63,4,2,8,0,17,19,0,5,1,0,38,0,17,2,3,21,2,0,0,13,0,0,0,71,3,237,0,35,1,5,0,1,0,1,0,86,3,7,0,1,0,97,0,5,0,5,3,1,3,2,445,0,0,2,0,1,4,4,11,8,6,52,9,3,1,1,6,0,8
CELL0056,13,0,0,1,2,5,3,13,0,1,3,0,6,0,3,9,0,2,0,7,1,3,11,2,2,3,20,3,1,10,2,1,0,0,1,5,0,5,0,3,4,2,10,1,1,8,2,4,0,1,9,4,4,0,6,0,1,0,3,15,17,0,220,1,6,3,0,5,6,3,0,7,0,16,0,1,0,4,0,3,0,3,4,20,1,6,0,3,0,14,2,36,2,34,0,28,1,2,1,1,6,1,47,16,2,1,10,5,3,1,4,0,0,3,0,14,1,5,137,0
CELL0057,9,0,0,5,3,2,5,34,3,6,5,2,2,0,2,3,1,37,2,3,3,16,8,3,2,16,10,3,1,17,2,5,2,4,1,4,2,2,69,7,5,3,3,6,8,19,23,12,5,7,3,11,7,1,12,1,2,3,2,8,5,2,51,0,3,2,1,2,0,2,2,13,1,5,2,1,1,5,3,6,2,18,3,4,3,16,5,8,7,45,2,20,4,4,1,1,28,5,2,3,20,0,6,20,2,4,5,10,3,7,12,19,43,4,0,13,1,5,39,9
CELL0058,5,2,12,43,3,13,3,8,4,8,6,0,2,2,7,10,41,3,2,2,8,14,3,6,6,8,1,3,0,8,3,13,3,2,2,4,144,1,34,4,0,0,6,2,10,0,4,1,2,20,6,5,22,5,3,2,1,8,8,1,1,1,1,4,8,0,8,1,0,1,3,3,1,1,34,4,23,4,3,5,0,7,7,2,4,9,6,11,3,13,3,9,37,2,2,1,6,4,0,2,4,25,5,11,3,1,0,2,3,25,25,9,28,3,1,2,1,12,9,4
CELL0059,3,0,1,6,0,0,3,8,1,4,6,1,0,2,0,5,9,1,1,2,4,10,6,7,3,5,6,2,1,3,2,9,2,4,1,1,10,3,28,0,1,3,1,1,3,5,21,10,6,5,6,6,0,3,3,3,1,1,2,0,1,3,10,1,4,0,1,4,0,2,2,3,0,2,11,2,2,0,11,1,2,9,4,2,2,7,1,11,9,2,0,6,15,0,0,0,1,0,2,8,2,0,3,7,1,2,0,2,0,248,3,12,56,6,1,1,2,6,10,0
CELL0060,3,13,8,4,0,1,25,2,6,2,11,5,2,5,0,1,4,5,3,1,1,10,3,5,0,6,1,0,1,9,0,4,0,3,1,10,1,8,0,1,7,0,0,3,4,4,0,4,2,2,80,12,6,6,0,14,391,2,3,1,8,19,1,37,11,11,9,4,3,4,3,0,2,1,2,1,75,0,7,6,1,7,3,0,1,0,6,2,4,0,0,2,30,9,21,1,5,3,1,3,6,486,1,2,2,2,1,13,7,0,7,7,4,8,43,0,3,8,0,5
CELL0061,0,4,2,2,2,0,7,8,1,0,6,7,1,0,2,1,1,7,1,6,1,1,5,0,3,0,8,3,0,4,1,3,4,2,2,3,6,3,10,1,6,3,4,0,1,4,9,3,1,7,5,6,3,5,7,0,3,4,6,6,1,1,2,2,4,6,5,4,4,4,0,0,1,4,3,3,0,1,2,2,1,5,2,0,1,7,0,6,2,1,1,0,2,1,1,0,3,2,0,2,4,3,2,9,1,0,0,3,3,7,4,9,6,3,2,8,0,3,2,2
CELL0062,1,3,0,18,3,0,3,7,1,0,0,0,0,3,1,3,5,2,1,3,1,3,1,0,4,1,2,0,0,6,0,9,3,2,1,1,13,3,17,3,1,1,1,4,5,6,2,2,3,2,5,0,12,5,2,1,1,1,1,1,0,0,2,0,3,0,2,3,0,0,2,4,3,2,14,2,5,0,1,2,2,3,2,2,1,0,7,6,1,7,3,2,14,0,1,0,0,2,1,3,1,4,1,9,3,0,0,3,2,11,1,4,31,2,3,0,2,1,7,1
CELL0063,12,0,6,14,0,1,2,4,3,3,39,19,0,1,3,4,9,7,3,0,1,2,4,7,0,2,0,1,1,2,3,5,2,1,2,8,27,0,11,1,0,3,2,2,6,7,12,1,1,0,408,3,0,4,0,4,277,4,4,1,3,63,18,5,2,6,22,4,1,3,36,0,0,2,6,3,8,0,228,4,0,4,3,1,1,0,215,3,2,0,0,1,378,0,6,0,2,0,1,2,6,409,2,0,1,2,0,4,4,1,0,11,26,3,18,1,1,1,0,1
CELL0064,8,25,5,0,0,5,8,1,0,0,5,7,13,0,1,6,0,3,5,2,1,0,6,1,3,7,7,2,0,6,7,2,2,2,1,4,0,2,1,2,65,2,0,1,3,4,0,0,2,2,3,3,84,0,0,0,3,1,4,14,70,0,6,1,3,1,2,1,12,1,0,9,2,6,0,1,1,12,0,4,3,2,3,1,2,4,0,0,3,22,2,13,0,44,1,2,1,0,4,3,2,0,6,43,1,1,6,7,3,0,5,8,1,3,12,5,1,4,12,2
CELL0065,0,0,1,2,0,2,3,3,1,5,3,9,0,1,3,3,0,1,2,0,2,3,3,2,1,2,1,0,0,1,2,4,1,1,1,6,2,3,10,4,2,1,1,2,6,14,22,3,1,5,11,2,0,0,3,0,1,1,4,0,0,5,10,2,6,9,0,1,0,1,1,3,0,1,4,8,4,0,11,4,0,6,0,1,4,1,7,1,2,0,2,1,44,0,0,0,2,0,2,1,4,8,1,2,4,1,0,2,1,11,4,13,92,6,0,7,4,9,4,2
CELL0066,10,7,3,1,7,0,32,2,0,1,0,3,38,1,2,1,0,10,6,10,0,4,9,7,4,6,19,4,12,13,2,3,2,1,2,5,0,9,0,2,275,0,4,3,0,3,0,9,4,2,2,11,690,4,3,0,15,2,7,75,65,0,3,2,4,2,2,5,98,2,0,68,16,14,0,1,9,95,0,4,1,8,6,15,3,6,2,3,2,150,2,119,0,313,16,164,1,4,0,4,9,1,22,96,0,1,50,8,13,0,14,4,2,5,13,17,2,1,66,5
CELL0067,6,3,3,2,2,15,0,13,10,6,0,3,2,0,2,2,1,3,3,0,0,2,0,2,8,3,8,2,3,3,1,3,0,2,2,0,1,3,2,4,0,1,1,1,4,5,3,12,0,0,2,9,3,0,2,2,4,0,0,3,1,0,2,4,7,1,2,1,2,3,0,8,2,10,6,7,1,3,0,10,1,4,6,2,2,4,1,3,2,7,4,4,1,2,2,3,3,2,0,2,3,5,1,27,1,0,1,3,1,0,3,2,8,4,1,2,1,5,7,6
CELL0068,15,14,1,0,8,5,26,10,0,1,0,2,13,4,1,6,0,10,7,1,1,6,2,9,8,9,15,4,3,3,5,1,2,1,0,5,0,3,0,2,28,2,5,6,1,5,1,15,1,5,0,1,71,0,5,0,19,1,10,16,22,0,5,4,1,7,0,4,9,0,0,31,1,30,0,2,1,21,1,2,3,2,5,3,4,0,0,1,9,23,2,52,0,50,1,76,14,7,1,3,12,1,38,58,1,3,14,2,5,1,2,3,1,2,7,7,6,5,19,3
CELL0069,25,13,2,3,0,10,10,3,2,0,4,6,51,2,3,5,0,3,11,11,4,14,18,9,1,2,11,1,5,4,4,1,3,5,2,5,0,3,0,1,242,6,3,0,1,5,0,3,1,1,107,9,33,1,9,0,185,4,4,327,396,0,72,9,8,4,0,1,72,2,0,2,0,34,0,5,0,13,1,6,0,8,4,10,0,0,2,3,1,13,2,24,0,509,8,81,2,1,1,4,2,3,11,8,1,1,19,0,2,0,5,5,0,2,32,9,3,7,4,5
CELL0070,0,1,1,9,0,0,0,19,1,7,2,2,0,0,0,3,7,5,1,0,2,0,3,6,5,1,0,2,0,4,1,2,0,1,2,11,62,4,301,0,0,2,2,2,1,15,295,2,1,3,85,7,0,3,15,1,7,1,6,2,1,12,329,1,1,16,5,1,0,3,26,0,0,11,7,3,0,0,66,0,0,7,3,0,1,1,64,2,4,0,1,1,321,0,0,0,5,0,0,5,4,1,2,0,2,8,2,1,11,302,3,36,102,0,0,3,0,0,2,4
CELL0071,2,2,1,4,22,1,5,10,0,0,0,0,3,0,2,2,0,3,0,0,0,4,1,5,1,5,2,1,0,8,4,1,2,0,2,2,0,2,9,0,2,0,5,1,1,0,23,0,0,4,8,1,0,3,3,0,3,1,1,8,0,0,23,0,3,0,0,9,0,2,0,6,0,4,3,5,0,0,0,2,2,2,1,5,0,10,1,0,4,5,0,3,8,2,0,0,4,0,0,2,3,2,8,12,1,2,5,4,0,7,3,10,6,4,0,2,1,0,48,7
CELL0072,5,5,73,40,10,9,8,1,11,3,59,6,1,0,5,6,12,3,2,0,8,4,3,5,4,5,1,1,11,5,2,12,3,3,0,16,79,5,2,4,0,4,3,3,4,2,0,5,3,2,34,9,253,9,1,9,23,3,7,0,2,12,0,39,1,4,9,0,2,1,6,0,1,1,22,2,617,0,10,0,3,3,5,0,1,2,10,7,1,0,3,3,66,0,52,0,6,10,1,2,5,646,4,1,0,4,1,7,4,2,2,2,7,3,73,2,2,5,2,5
CELL0073,2,2,4,43,0,26,2,1,5,10,10,4,2,2,0,3,3,8,3,2,2,4,11,2,3,7,1,2,0,4,2,16,2,3,1,5,2,2,0,0,7,4,4,2,8,0,0,5,4,0,33,4,7,4,1,5,179,5,12,2,3,3,1,16,8,2,1,3,0,2,3,0,0,3,0,3,327,0,5,1,0,6,3,0,0,0,9,5,0,3,2,3,7,2,12,1,2,3,2,2,3,258,4,4,5,4,0,6,5,0,1,2,4,5,28,3,0,8,0,5
CELL0074,2,0,2,6,2,0,0,4,4,0,1,0,1,3,0,0,4,5,2,1,1,8,6,2,1,2,2,0,1,8,1,3,2,2,1,5,0,2,13,3,0,2,2,11,0,10,7,5,2,3,3,2,11,5,1,3,1,8,0,5,3,3,1,0,4,8,1,1,3,3,2,5,0,9,9,1,9,2,0,4,0,6,2,0,5,5,1,1,1,18,0,8,26,0,0,0,2,2,0,2,3,0,4,13,1,4,0,8,7,4,2,15,6,7,3,4,5,5,14,1
CELL0075,6,10,4,7,5,3,1,4,1,2,3,24,0,0,3,8,0,6,1,1,2,4,4,2,0,6,10,0,2,2,3,3,4,0,3,8,0,1,0,3,6,0,1,4,2,1,4,4,0,6,18,1,11,1,3,0,22,2,5,2,5,1,3,3,1,3,2,7,4,0,0,9,0,8,1,5,3,0,3,2,2,2,4,6,2,0,0,6,3,6,9,9,14,6,5,1,5,4,1,2,2,10,7,28,3,2,0,2,2,0,2,2,5,3,14,1,0,3,2,3
CELL0076,0,14,8,42,2,2,0,2,3,9,7,1,4,0,2,5,2,9,0,2,0,7,3,2,4,4,3,2,3,4,4,8,4,0,1,3,6,1,5,0,5,2,4,2,4,5,4,8,0,0,15,3,8,0,1,3,44,0,3,1,2,2,4,6,4,3,14,4,3,1,14,0,1,3,1,1,8,0,5,5,0,4,3,0,2,1,3,1,2,10,2,6,22,25,8,2,3,2,4,5,3,136,6,1,0,0,0,2,5,1,5,6,10,12,19,1,2,12,0,7
CELL0077,3,4,2,6,0,7,6,0,2,2,14,9,1,5,1,4,0,5,1,0,0,6,16,6,0,2,1,7,1,8,5,3,0,4,2,7,6,4,10,3,2,1,7,6,2,11,4,3,4,4,26,5,9,1,1,1,48,3,4,5,2,2,6,11,2,8,4,4,4,4,3,3,1,5,20,6,7,0,5,1,1,10,6,2,4,0,6,1,8,3,5,10,13,1,2,1,5,3,3,5,3,91,2,2,4,2,1,4,4,1,4,2,12,1,7,7,5,10,0,2
CELL0078,4,6,2,8,1,4,5,3,6,1,9,2,2,3,0,6,0,2,4,3,0,7,6,7,2,1,2,5,0,3,2,6,1,5,6,1,4,3,4,2,4,3,1,3,0,11,3,5,1,6,6,4,2,3,12,0,23,3,4,2,4,5,3,2,6,3,1,1,1,1,1,5,1,11,4,2,1,0,13,0,1,6,4,1,4,0,2,2,7,15,6,10,3,3,4,0,7,1,1,6,10,1,3,13,2,3,3,5,5,2,4,14,9,14,5,9,0,5,7,3
CELL0079,3,4,63,17,0,3,6,2,5,11,18,2,3,2,1,8,27,5,6,0,1,4,6,3,3,2,0,8,5,2,2,10,2,1,0,5,13,2,0,5,0,3,1,3,33,0,0,3,2,5,208,5,5,3,0,13,411,2,7,0,0,61,0,138,6,8,13,4,1,0,21,0,1,0,5,2,384,0,320,1,1,3,0,1,0,0,61,1,3,0,5,1,44,1,188,0,1,3,1,4,5,386,0,0,0,0,0,5,7,0,5,5,8,6,144,0,2,10,0,6
CELL0080,8,0,0,4,1,6,0,22,1,0,2,6,0,2,0,3,1,6,2,1,0,13,4,1,3,7,4,2,0,3,3,8,2,1,2,2,14,4,118,5,0,2,1,6,0,11,194,0,3,7,4,6,0,3,8,0,1,0,2,1,0,0,33,0,2,8,0,1,0,0,1,4,0,11,64,4,0,1,1,1,1,3,1,3,0,3,1,7,3,5,3,2,22,0,0,1,2,2,1,0,7,1,12,19,5,0,2,7,5,163,0,11,98,2,0,4,0,4,107,2
CELL0081,4,27,7,5,0,10,38,0,0,11,8,4,32,1,4,1,0,3,3,10,4,3,3,3,2,4,10,7,5,2,5,3,0,1,9,4,0,1,0,7,28,6,2,2,4,4,0,2,12,10,42,3,599,6,0,1,388,3,7,13,23,2,4,8,3,3,0,1,29,1,0,7,6,6,0,1,34,1,3,3,0,7,3,4,0,0,2,7,3,10,4,22,0,60,209,23,6,2,3,4,4,73,2,7,2,3,0,9,3,0,7,1,3,12,588,2,2,7,2,3
CELL0082,0,3,0,1,1,11,1,2,4,1,12,6,1,0,1,3,1,4,1,0,1,2,3,4,0,0,2,0,2,4,1,1,2,1,1,0,0,1,0,3,3,0,0,0,6,2,0,5,2,7,37,3,40,1,0,2,112,0,4,1,12,1,0,8,5,1,1,3,2,1,0,0,1,1,0,2,131,0,5,1,1,2,1,0,3,1,2,2,4,1,0,1,4,9,20,1,7,2,2,1,2,276,2,0,0,2,1,3,4,0,5,5,4,3,77,0,1,6,0,2
CELL0083,8,2,6,5,0,2,3,7,4,0,3,3,3,1,2,1,0,6,1,1,1,4,0,1,3,5,1,1,0,3,2,1,3,5,1,3,0,2,4,8,5,2,3,5,0,7,2,13,4,1,19,8,8,1,3,0,7,2,12,3,8,1,13,0,3,1,1,0,3,1,1,2,0,3,1,2,3,0,3,3,1,1,0,3,4,4,5,1,2,4,0,7,4,2,1,3,2,1,2,2,4,4,3,6,4,2,3,1,2,0,2,13,3,11,2,4,1,6,2,3
CELL0084,2,1,2,9,0,1,1,4,9,0,0,6,2,1,2,0,0,0,2,1,1,0,0,2,1,0,3,0,0,1,2,4,1,2,0,3,1,4,10,1,0,1,1,2,2,4,3,12,3,6,7,0,6,1,1,2,10,1,3,1,4,3,5,1,1,2,0,6,1,1,0,0,4,3,5,2,4,0,7,2,1,4,3,3,0,1,3,3,3,1,0,7,9,3,2,1,2,4,1,1,4,3,7,2,0,1,1,3,3,11,4,8,9,7,3,0,1,8,3,0
CELL0085,2,35,1,0,0,0,31,0,1,1,0,2,37,0,1,1,0,1,3,0,3,2,2,2,1,1,2,1,5,9,1,0,0,0,1,1,0,4,0,3,230,2,0,0,2,0,0,3,2,3,75,5,240,3,0,2,222,1,2,163,225,1,0,4,4,4,0,1,123,0,1,7,4,1,0,3,74,1,1,1,0,1,3,1,1,0,1,1,1,8,1,17,0,259,246,53,3,2,1,1,0,253,12,8,0,0,2,2,2,0,3,1,0,11,255,3,3,0,0,1
CELL0086,5,1,0,18,3,0,3,1,1,5,0,3,0,0,1,2,0,3,0,0,0,5,1,6,2,4,3,1,1,1,0,4,3,2,0,0,3,2,4,3,0,1,0,1,2,4,35,11,0,0,19,4,0,5,4,2,1,1,2,0,3,1,10,2,1,1,6,0,0,0,3,3,0,2,2,1,0,0,0,0,1,2,2,1,3,1,3,1,5,6,0,1,41,3,0,1,1,2,2,2,3,4,5,2,2,0,0,3,10,1,5,10,42,5,3,0,2,4,6,3
CELL0087,1,0,0,5,1,1,0,6,3,1,0,0,1,1,0,6,0,2,0,1,1,1,2,3,2,9,6,1,0,3,1,4,2,1,0,0,7,3,15,1,0,2,4,5,2,5,14,1,0,5,0,2,2,1,1,0,0,3,4,1,0,0,2,4,1,0,1,2,0,5,2,6,0,5,18,3,3,0,0,4,2,4,0,5,2,12,0,4,0,10,5,2,17,0,0,2,5,2,0,1,2,0,6,16,2,1,0,5,6,78,1,4,31,4,0,5,0,2,26,2
CELL0088,1,0,10,34,2,6,1,13,1,23,4,4,0,5,1,3,48,7,3,0,1,7,1,3,1,4,0,1,1,0,2,122,5,5,3,13,198,4,66,8,0,3,2,6,13,6,17,0,3,3,15,9,2,6,0,5,4,2,0,0,0,14,0,28,4,2,19,6,0,1,14,1,0,0,100,2,456,0,15,1,1,3,8,0,4,1,17,1,3,1,0,3,478,0,2,0,12,2,1,2,6,307,1,1,1,2,0,10,4,206,12,13,338,11,4,0,4,8,3,2
CELL0089,5,6,1,1,0,2,2,17,0,2,1,3,2,2,2,3,0,3,1,2,0,4,7,2,1,3,6,2,0,3,0,3,1,1,0,1,0,5,0,5,7,2,2,0,1,4,0,6,0,4,3,2,16,3,0,0,0,1,1,6,8,0,0,3,2,5,2,0,5,2,1,3,0,4,1,0,3,2,0,0,1,2,3,0,1,7,0,2,1,4,0,19,0,13,0,2,2,0,2,0,3,7,19,7,1,1,1,3,1,1,2,4,1,3,2,1,1,2,5,5
CELL0090,7,1,3,9,0,10,7,4,3,9,15,6,1,5,5,9,1,9,6,1,1,2,4,4,0,2,1,4,0,8,1,4,2,2,4,2,6,5,7,5,4,5,5,6,6,3,7,4,0,12,169,0,0,13,3,1,67,2,3,1,2,8,30,2,5,28,11,2,4,2,11,0,0,26,7,4,4,0,9,4,4,4,1,0,2,1,4,5,3,8,3,8,14,4,1,0,3,2,0,3,3,117,1,4,1,2,11,10,4,1,6,15,28,4,6,14,4,7,2,4
CELL0091,0,0,27,16,0,4,1,1,11,0,6,5,1,2,2,2,8,3,2,1,4,4,2,0,1,9,1,1,4,3,0,20,2,3,2,3,43,4,3,0,1,3,2,2,9,6,0,7,2,3,127,1,11,7,0,10,368,0,2,1,1,23,1,71,4,4,42,1,1,0,28,1,1,1,5,1,372,0,27,2,3,6,2,0,2,0,42,8,3,0,1,0,116,2,78,0,4,0,0,1,5,368,0,0,1,2,0,2,12,3,5,8,25,10,143,0,0,1,0,2
CELL0092,0,2,5,29,0,6,8,2,6,3,5,4,0,1,1,4,97,3,0,0,3,6,6,8,2,4,0,2,5,5,3,28,1,2,1,12,58,5,4,5,0,14,3,10,35,2,5,8,0,8,69,3,2,3,0,19,41,1,3,0,1,26,0,27,3,1,70,3,1,0,35,0,0,2,26,4,400,0,46,0,8,7,2,0,5,0,35,3,6,0,1,1,211,0,7,1,5,2,4,1,10,510,0,0,2,3,0,6,3,32,9,2,17,2,9,0,2,4,0,7
CELL0093,4,1,3,0,1,2,3,1,2,3,1,5,1,5,1,4,0,3,1,3,2,2,5,9,3,1,1,5,0,4,5,1,0,1,1,2,0,4,1,1,4,7,4,1,3,3,2,1,0,1,12,2,23,3,2,1,44,3,2,8,5,1,11,4,7,4,0,3,2,1,1,4,2,4,0,6,2,1,2,5,1,1,4,1,3,0,0,2,3,20,1,2,2,14,2,0,0,0,2,6,2,14,0,10,0,0,5,1,3,0,7,6,5,3,11,5,1,6,3,0
CELL0094,1,3,0,6,3,4,0,1,5,3,8,3,2,0,2,3,14,1,3,0,1,6,7,3,0,0,1,0,8,3,5,12,1,1,3,0,351,6,40,0,0,1,3,1,1,3,39,5,0,1,8,8,0,1,0,1,22,0,1,0,0,1,2,0,2,7,13,2,0,3,0,0,0,2,132,3,27,0,6,2,0,1,4,1,0,1,3,1,2,5,2,8,69,0,1,0,1,2,0,3,2,36,3,0,1,0,0,4,2,14,2,2,113,0,5,0,2,5,2,1
CELL0095,0,0,1,17,0,5,0,4,12,1,2,25,0,0,1,2,1,8,1,0,1,4,4,15,1,3,0,2,0,5,1,3,2,4,3,8,5,1,10,0,5,1,2,3,6,11,33,13,3,6,49,7,0,3,6,2,30,1,2,1,1,7,32,2,1,6,4,3,2,2,2,1,0,8,1,3,0,0,4,2,2,5,2,0,2,0,4,5,5,2,1,1,26,2,0,0,2,2,2,1,1,21,1,1,1,1,1,0,4,0,1,9,22,2,4,1,1,6,1,2
CELL0096,1,16,17,6,1,5,10,3,11,8,4,0,42,1,1,5,1,6,7,1,2,3,1,0,1,5,0,1,5,8,2,4,3,1,3,7,2,2,0,1,5,4,3,2,4,0,0,9,0,5,82,7,362,4,0,5,377,2,4,7,13,0,0,55,2,1,2,3,21,0,7,5,4,3,4,0,357,0,21,2,0,5,5,1,4,0,4,1,3,2,1,2,2,12,340,0,4,1,0,3,3,351,1,2,0,1,1,1,1,0,2,1,1,7,358,0,2,2,0,1
CELL0097,3,0,9,15,1,1,9,3,1,0,2,2,1,2,3,3,2,7,3,2,2,4,1,5,4,0,6,1,1,5,1,14,2,7,3,2,1,4,7,2,0,1,3,5,2,1,2,2,1,2,2,2,7,1,2,0,0,2,1,1,0,2,1,0,5,1,0,3,1,0,1,5,0,3,9,9,9,1,0,2,0,3,3,6,3,11,0,0,4,5,3,14,7,1,0,1,1,1,0,3,2,2,7,7,1,0,2,3,1,9,3,4,2,1,3,1,1,1,42,1
CELL0098,0,7,7,39,2,5,2,0,2,21,4,7,3,0,3,1,0,0,4,0,1,5,2,6,1,5,2,4,1,3,4,11,1,4,6,5,0,1,0,1,1,3,2,1,7,1,0,6,0,2,33,3,83,1,0,4,308,2,0,0,0,9,0,37,3,0,5,0,1,0,1,1,1,0,0,3,255,0,6,4,2,3,1,1,4,0,7,2,4,0,0,4,10,14,167,0,5,0,1,1,2,336,0,1,1,1,0,2,6,0,1,2,7,10,149,0,1,8,0,2
CELL0099,16,20,2,2,1,1,30,9,2,0,1,6,12,1,2,1,0,6,1,5,5,16,5,2,0,5,4,3,2,3,0,1,2,0,0,3,0,3,0,3,20,1,2,3,0,6,0,2,2,0,10,6,131,7,4,0,13,2,9,22,36,0,11,1,9,2,1,2,15,3,0,8,1,5,0,2,1,2,1,1,1,2,3,7,1,0,0,0,2,68,0,18,0,32,2,67,4,2,0,4,3,2,6,32,3,2,12,4,5,0,6,16,1,11,8,8,3,2,6,1
CELL0100,5,0,2,2,4,0,1,7,12,0,8,12,2,0,1,2,1,9,2,0,2,5,5,6,0,2,5,1,0,6,2,7,2,3,1,4,10,3,23,3,1,4,4,4,3,3,23,14,3,4,27,4,2,3,2,1,3,2,5,7,1,8,91,1,1,3,4,11,2,5,1,2,0,9,12,2,0,0,11,1,0,1,3,1,8,5,6,2,8,3,2,2,33,2,0,0,4,2,2,2,6,7,5,2,2,0,0,4,5,21,6,1,19,7,2,6,5,0,4,3
CELL0101,0,1,1,1,4,1,1,3,3,2,2,0,0,0,2,3,15,2,5,2,3,4,9,2,3,1,7,4,2,4,2,19,1,2,0,5,48,2,212,0,0,2,5,0,3,3,54,2,3,3,3,2,19,3,0,0,0,1,7,0,0,1,1,3,6,2,22,6,0,4,5,7,1,0,70,5,7,0,0,5,3,3,4,0,1,23,0,5,2,11,2,6,77,0,0,0,8,3,2,1,3,0,7,32,0,5,0,10,1,84,3,8,41,4,1,1,1,3,17,5
CELL0102,0,2,1,22,0,5,2,19,25,2,11,5,0,0,1,9,27,11,1,0,0,6,2,7,3,4,4,1,1,7,2,15,2,3,2,13,62,2,67,0,0,1,6,7,5,9,47,5,1,2,84,2,0,9,1,6,8,1,2,0,0,9,52,1,8,7,15,6,0,5,5,4,0,7,50,4,6,0,86,4,1,11,1,1,4,8,28,2,1,1,0,2,200,0,0,0,7,3,2,1,2,12,2,1,1,1,1,4,4,111,5,17,200,12,0,3,3,5,3,2
CELL0103,4,2,0,0,4,0,5,30,0,6,0,14,2,4,1,6,1,5,1,3,0,4,10,3,3,2,10,0,1,5,4,2,1,1,2,7,1,6,14,2,2,3,2,1,2,5,51,2,1,4,2,2,0,0,22,1,0,1,1,0,1,1,152,0,0,1,3,9,2,5,0,7,0,23,2,2,0,0,0,1,0,2,5,1,0,9,0,1,2,21,2,19,4,1,0,5,1,0,1,0,2,0,17,16,0,2,3,5,6,15,3,8,12,4,0,19,1,2,65,3
CELL0104,7,5,0,8,0,12,1,6,2,1,4,16,0,2,8,4,0,9,1,0,1,2,10,2,2,4,1,0,0,9,3,1,1,3,1,7,0,1,5,0,4,5,8,4,0,15,28,6,0,3,25,7,1,2,6,1,25,2,6,40,13,2,488,0,7,10,1,5,6,0,3,14,0,15,2,8,1,0,2,1,0,1,2,4,3,3,1,2,4,5,0,36,3,6,1,2,1,4,1,2,4,2,9,4,1,5,11,5,3,0,0,9,10,2,0,40,2,10,7,3
CELL0105,2,5,17,9,3,8,1,6,4,9,37,10,0,1,3,10,31,4,3,0,1,14,6,3,2,3,3,7,8,1,2,18,1,2,1,9,119,7,101,2,0,12,6,5,9,11,14,3,2,6,7,2,0,10,1,4,4,2,5,3,0,3,2,9,3,2,5,2,0,1,6,2,3,2,116,3,48,0,23,8,2,3,2,2,4,5,12,3,7,3,0,1,103,0,1,0,6,3,6,3,9,36,2,3,1,1,0,3,5,49,12,7,196,9,1,1,3,2,3,3
