# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0322,1,3,4,7,6,0,3,2,8,9,6,3,13,5,8,0,6,12,5,19,5,0,6,3,3,4,25,4,2,7,0,2,1,1,5,5,0,1,0,1,1,1,1,18,0,3,1,1,0,9,19,3,7,6,1,0,13,2,0,10,1,3,6,3,4,7,10,4,2,2,5,1,1,18,19,2,2,2,2,21
CELL0323,8,1,13,11,32,0,7,1,7,3,9,3,37,9,14,7,2,10,0,0,3,6,14,21,0,13,15,1,20,1,1,3,21,0,0,18,126,9,1,5,6,4,3,4,11,0,3,2,5,7,6,0,1,12,3,6,5,5,4,3,10,10,11,9,3,1,3,7,0,10,0,0,7,4,1,1,4,17,4,0
CELL0324,4,0,2,8,2,0,3,2,3,10,9,6,14,3,6,1,20,6,4,25,5,0,4,6,4,1,22,1,5,6,0,4,0,3,4,0,2,2,2,8,3,1,3,14,1,2,5,6,1,18,27,1,3,7,2,0,11,3,1,14,5,1,4,9,1,5,13,4,3,1,1,0,2,18,22,2,1,3,0,14
CELL0325,30,19,1,8,6,14,5,2,22,8,2,13,1,6,0,4,9,2,7,2,0,0,1,12,3,2,22,19,2,30,5,8,5,2,0,5,1,2,5,0,18,20,1,2,4,2,6,13,2,21,21,15,10,6,0,2,5,3,14,1,0,10,2,4,9,1,1,0,9,1,18,22,0,4,1,12,0,16,1,1
CELL0326,6,3,14,18,8,3,5,4,3,16,6,3,4,5,3,3,0,1,4,15,5,4,17,9,2,9,6,2,2,4,7,5,6,0,0,1,3,2,1,0,12,1,17,0,1,3,0,7,4,4,1,9,1,20,3,1,14,3,0,4,73,6,14,0,19,20,21,3,6,5,1,62,0,2,9,44,1,1,1,6
CELL0327,7,3,19,26,14,7,3,9,9,31,1,4,1,7,4,6,0,3,4,11,6,3,23,19,2,15,5,5,5,5,11,4,3,6,0,2,4,9,12,0,11,3,21,0,1,5,2,9,9,9,1,11,14,26,0,2,20,1,1,8,107,10,18,0,39,26,19,2,12,5,2,54,2,4,11,60,0,4,2,8
CELL0328,22,17,2,10,5,13,8,1,18,11,0,1,0,3,2,1,9,2,13,5,1,1,0,6,5,2,9,26,2,52,4,5,2,3,0,1,2,2,7,2,9,15,2,1,5,4,3,18,3,15,20,21,12,3,1,3,5,6,14,3,0,5,1,2,8,0,3,3,11,1,10,17,0,1,3,14,0,11,4,0
CELL0329,3,6,20,22,14,7,1,1,4,18,2,6,3,12,5,4,0,5,3,13,2,5,20,15,1,9,12,5,6,4,7,4,3,1,0,3,2,4,7,0,10,3,19,0,0,1,0,4,3,10,2,13,2,24,0,6,20,1,3,5,84,6,12,3,32,30,15,1,12,7,2,68,1,0,5,43,1,2,5,7
CELL0330,7,7,8,23,44,1,16,4,11,13,6,5,44,4,21,3,0,7,0,0,4,3,12,25,0,15,14,0,27,2,0,0,28,0,2,19,146,7,1,2,13,13,3,8,15,0,2,3,6,5,8,1,2,6,1,3,5,7,3,5,10,9,13,12,3,4,3,5,0,4,2,0,12,6,0,0,4,19,0,1
CELL0331,7,2,13,17,40,0,5,4,8,4,5,6,45,5,20,4,2,10,2,0,4,4,13,36,0,19,12,0,17,2,1,3,29,1,1,18,113,8,4,0,8,12,3,3,12,1,5,3,5,2,8,1,3,4,5,9,3,8,3,4,15,5,13,10,3,3,3,3,0,4,1,1,10,8,0,0,7,29,0,0
CELL0332,30,22,0,8,1,19,13,0,18,9,2,9,2,6,2,2,6,4,7,2,0,1,0,10,1,1,9,32,1,37,5,11,5,2,0,2,1,4,7,3,16,16,1,1,3,2,3,27,5,12,19,18,13,4,1,2,6,4,18,7,0,7,1,1,7,2,3,1,11,1,12,16,0,1,5,8,2,20,1,2
CELL0333,3,5,5,14,35,1,5,4,9,5,6,1,32,4,13,0,0,6,3,0,0,9,10,23,2,7,18,0,8,6,1,0,16,1,3,21,93,6,5,1,7,1,3,2,5,1,1,3,2,4,6,3,1,4,4,3,3,7,1,2,5,4,8,10,1,2,3,4,0,4,5,0,5,3,0,1,1,15,0,3
CELL0334,5,0,3,9,7,2,3,1,10,17,8,5,11,2,11,1,15,12,5,9,10,0,5,3,2,5,31,3,2,7,0,1,2,1,5,2,1,3,0,1,1,4,0,29,5,2,2,2,1,14,33,2,5,5,2,0,14,1,0,22,3,7,5,5,5,9,13,5,5,5,4,0,6,19,11,12,2,8,4,23
CELL0335,1,0,6,8,38,0,13,4,4,6,7,5,25,5,16,4,1,5,3,0,0,3,15,24,1,16,10,1,21,1,1,0,26,1,1,18,98,8,2,4,8,5,6,0,8,0,0,0,9,4,1,2,2,6,1,1,4,7,5,5,7,3,14,5,3,1,3,2,0,3,2,0,6,3,0,0,2,13,2,0
CELL0336,5,2,9,6,25,1,6,3,6,5,9,3,27,7,12,1,1,1,0,0,1,2,8,12,0,10,7,0,6,1,0,0,17,0,1,11,72,6,3,1,7,3,2,1,9,0,1,2,2,6,4,0,3,5,1,0,0,4,6,1,9,5,7,11,1,3,1,3,0,3,1,1,9,7,1,0,2,12,2,0
CELL0337,3,4,20,31,6,5,7,3,6,27,5,3,5,4,5,4,1,3,2,10,4,3,23,8,3,15,11,3,3,3,9,2,6,3,1,0,5,6,4,0,19,3,23,0,0,6,2,16,5,11,2,10,7,19,0,2,15,2,2,5,87,5,7,0,27,34,17,2,7,8,2,67,0,3,14,57,1,2,1,10
CELL0338,4,2,5,5,6,0,3,2,1,7,5,7,16,1,6,0,15,4,6,14,3,0,11,0,5,3,21,6,5,12,0,5,0,4,6,3,5,2,1,1,2,2,3,20,4,1,0,4,1,7,32,2,2,12,0,1,12,2,2,24,3,5,7,7,5,10,16,5,3,3,5,2,5,18,28,11,1,3,4,25
CELL0339,3,0,4,4,3,0,0,0,1,3,7,0,10,0,1,2,7,5,8,9,2,1,2,4,0,4,16,1,1,6,0,0,1,2,0,1,1,1,2,1,0,3,2,18,2,0,1,1,0,6,19,3,0,7,1,2,6,0,1,12,5,1,4,4,4,2,11,4,2,2,1,0,1,8,13,4,2,3,1,8
CELL0340,9,20,0,1,9,5,0,24,2,2,1,0,23,4,27,5,2,6,3,11,44,15,3,0,5,3,2,1,1,8,8,3,8,0,2,0,2,5,6,4,10,0,10,9,2,12,21,17,1,3,4,2,15,8,23,4,1,2,16,13,27,18,48,17,22,17,17,2,4,7,12,18,2,0,4,3,28,21,2,11
CELL0341,2,1,2,5,5,0,1,1,7,5,5,6,12,0,7,1,14,3,5,12,0,0,3,6,3,4,17,5,2,8,1,1,0,3,1,0,2,2,0,0,1,2,2,22,2,0,3,1,0,8,15,0,1,5,1,0,6,1,1,9,1,4,3,2,4,6,12,2,2,1,2,0,2,3,10,2,1,2,1,16
CELL0342,4,2,4,10,5,4,2,2,7,8,5,3,17,0,4,3,18,9,6,26,6,1,2,7,9,2,29,7,2,23,0,3,3,5,4,1,1,3,0,2,2,4,6,35,3,2,2,8,1,10,32,2,7,8,2,0,21,2,0,11,5,5,10,12,5,10,18,6,3,4,2,2,6,19,23,4,0,2,3,23
CELL0343,4,2,8,11,38,0,7,1,6,7,4,4,29,9,19,3,0,2,0,0,0,1,11,30,0,9,14,0,10,6,1,1,25,1,1,10,108,4,4,2,4,4,2,2,6,2,4,2,6,3,3,0,0,4,3,1,3,5,2,6,10,1,7,7,0,0,1,8,0,2,0,0,9,5,1,0,5,16,1,0
CELL0344,1,1,4,2,8,1,0,1,4,5,8,4,9,0,6,2,9,3,5,21,7,0,8,4,5,3,17,2,2,9,1,3,0,5,4,5,2,1,1,0,1,1,3,23,2,1,4,3,1,9,20,2,5,6,2,1,13,1,0,17,4,1,1,4,5,4,9,6,5,1,3,1,1,11,18,3,2,0,1,14
CELL0345,6,4,13,15,47,1,11,2,10,5,7,2,35,6,26,8,1,7,1,1,0,3,17,40,3,17,15,0,16,2,0,0,29,0,3,27,159,13,4,0,9,7,4,2,10,1,2,5,9,8,4,1,0,8,4,4,4,12,5,5,17,7,20,15,3,4,3,1,0,3,2,1,12,12,0,0,1,17,4,0
CELL0346,3,1,6,0,6,2,4,0,3,4,4,4,5,1,8,1,12,4,5,6,4,0,3,2,6,4,12,5,3,3,0,0,1,0,3,3,1,1,0,2,3,2,0,17,0,0,0,1,0,6,16,2,3,3,2,0,8,0,1,9,2,0,4,2,5,4,11,4,0,3,3,1,2,9,10,3,2,3,2,13
CELL0347,12,15,1,1,14,6,0,19,5,0,0,1,10,2,44,4,3,2,4,13,58,11,6,3,6,7,0,3,2,11,15,3,6,2,5,1,1,3,2,7,5,0,3,4,1,9,21,29,4,0,8,4,22,6,25,7,0,0,14,11,28,15,50,12,17,15,25,1,5,15,8,22,2,2,3,1,25,18,6,17
CELL0348,1,3,2,3,4,0,1,0,7,8,8,5,14,0,8,3,16,11,2,23,4,0,8,4,6,3,26,6,4,10,1,1,1,1,8,8,0,1,0,2,5,3,5,19,1,5,5,3,0,11,29,1,3,5,6,2,15,4,0,13,3,1,7,10,6,2,9,6,0,3,6,0,4,21,20,6,2,4,3,13
CELL0349,3,11,3,1,14,5,0,3,1,1,1,0,10,3,31,3,0,0,3,8,27,10,4,0,3,3,1,0,0,4,7,0,4,0,5,1,1,4,3,4,2,0,1,7,2,4,11,14,1,0,1,1,7,3,12,6,1,0,15,6,19,8,37,11,17,9,16,0,2,10,6,11,0,0,3,0,13,18,4,8
CELL0350,1,3,18,19,12,6,3,2,6,12,4,4,0,6,2,6,0,1,2,14,3,6,17,11,3,9,7,3,6,2,8,2,1,2,0,1,1,8,6,0,13,6,9,0,1,1,0,6,4,6,0,6,1,15,1,1,11,1,2,4,63,6,16,1,15,13,19,1,6,3,3,56,2,0,5,40,0,3,2,8
CELL0351,3,7,20,26,13,5,4,6,7,26,8,6,1,3,10,2,1,3,6,13,5,2,30,12,1,6,7,8,5,1,6,7,9,0,0,1,1,5,11,1,12,2,27,0,0,5,0,21,6,8,2,13,8,18,1,3,28,3,0,5,90,6,16,0,28,25,15,2,2,9,0,88,2,1,6,66,0,2,4,9
CELL0352,8,7,0,3,1,3,2,0,7,5,1,3,1,3,0,0,6,0,4,0,1,0,0,0,0,0,8,10,0,18,2,4,0,2,1,1,1,2,4,2,7,9,0,0,2,3,0,4,2,9,11,12,2,0,1,1,3,5,4,2,0,2,1,2,4,0,1,2,5,0,4,13,0,2,2,6,1,2,3,1
CELL0353,7,4,7,14,33,0,12,7,8,11,8,3,39,8,21,7,3,3,2,1,3,3,19,24,0,15,21,0,18,8,0,1,40,1,0,18,129,9,4,4,9,2,12,2,12,2,2,3,5,9,2,0,1,10,5,0,4,5,3,3,11,7,15,16,2,3,3,2,0,2,3,0,12,4,3,1,3,28,4,1
CELL0354,2,2,2,3,4,2,2,0,4,6,12,6,12,0,12,0,15,5,6,15,5,0,4,3,0,2,13,4,6,12,0,4,0,0,6,2,0,2,0,2,0,1,4,25,5,4,0,1,0,8,16,2,3,9,1,1,6,5,1,18,4,2,3,4,1,4,10,4,2,2,2,2,2,20,12,3,1,0,3,20
CELL0355,6,2,11,14,17,5,3,7,9,17,3,4,2,11,3,8,1,2,0,11,2,2,17,12,2,10,11,3,2,1,11,4,2,2,0,1,0,2,3,0,7,1,16,0,0,0,1,10,0,9,0,6,4,21,4,1,24,1,1,5,58,8,15,1,21,19,16,0,7,2,6,45,2,3,9,43,0,3,1,5
CELL0356,4,5,7,8,10,1,5,2,5,14,15,5,20,2,11,1,31,14,6,18,11,1,9,14,7,9,34,6,1,8,1,3,2,4,11,4,2,5,0,3,1,7,5,40,4,1,2,5,2,21,37,0,3,11,4,1,17,5,0,23,9,1,13,11,3,11,21,8,4,4,4,0,4,29,31,9,4,4,4,26
CELL0357,6,4,8,3,3,3,3,4,9,7,5,4,12,1,6,0,14,4,4,12,4,1,9,2,4,1,21,2,5,9,0,6,0,1,4,0,0,4,0,1,0,2,5,15,2,0,6,4,1,9,26,1,3,3,1,0,12,3,1,11,2,1,2,4,3,4,9,1,3,1,0,1,2,13,17,4,3,0,3,8
CELL0358,7,13,0,2,13,6,0,10,2,1,0,0,6,3,19,1,1,4,3,6,42,8,2,1,0,1,0,3,0,4,11,2,2,1,0,0,0,3,1,6,3,3,0,3,1,4,13,12,1,1,3,3,9,4,13,4,1,1,10,3,17,11,13,7,16,4,13,0,7,3,5,11,2,1,2,0,16,6,4,8
CELL0359,4,0,7,5,5,0,1,2,5,3,6,3,10,2,8,2,9,4,7,15,1,1,4,2,2,3,18,2,1,12,0,0,1,1,3,2,1,2,0,2,2,1,2,14,2,1,2,6,2,6,16,0,2,4,5,1,5,0,0,13,1,0,3,2,4,2,10,5,2,3,1,0,5,17,12,4,2,2,1,10
CELL0360,1,0,4,3,4,0,3,1,3,3,6,9,16,2,6,0,10,7,5,16,2,0,10,4,4,2,16,5,1,14,1,2,0,3,5,2,0,1,0,1,5,1,4,27,5,1,3,5,0,9,17,3,3,5,1,1,11,2,0,12,2,5,2,7,3,6,11,4,1,3,3,1,1,18,16,4,2,4,1,13
CELL0361,7,8,20,25,21,6,1,5,9,22,7,17,0,10,7,7,2,6,3,16,6,5,26,10,1,16,9,1,1,3,9,7,4,2,1,2,3,9,9,0,10,3,19,0,1,4,1,12,7,11,5,12,10,37,1,10,36,2,2,12,109,6,20,1,31,39,25,2,7,9,6,71,4,2,12,69,2,2,4,12
CELL0362,1,3,21,16,14,4,5,2,7,25,3,4,0,11,8,5,0,1,3,18,2,5,21,18,1,8,8,3,4,1,8,3,1,3,2,1,3,7,4,0,14,2,23,2,0,4,0,12,1,10,1,10,8,23,2,7,23,3,1,7,79,5,8,1,25,24,16,1,5,3,0,56,1,0,9,45,1,1,2,7
CELL0363,6,14,1,2,11,8,0,11,4,1,0,2,11,0,32,4,2,2,6,10,40,18,2,1,2,5,0,2,0,2,11,0,1,0,5,0,1,5,5,4,7,1,5,3,1,6,17,21,2,1,0,2,7,14,17,3,1,2,10,6,27,20,38,10,19,10,12,0,6,11,7,18,5,2,5,1,22,13,3,5
CELL0364,9,13,2,0,10,10,0,11,1,1,1,1,6,1,31,3,1,4,4,7,22,12,2,1,4,0,0,1,0,0,8,4,3,0,2,1,0,1,7,7,8,1,2,4,0,5,12,16,1,0,2,2,10,2,19,2,0,0,6,9,26,10,26,15,13,10,14,1,5,9,3,17,3,0,3,1,19,12,5,7
CELL0365,3,1,20,21,19,8,6,5,10,25,3,5,2,10,5,8,0,7,1,10,5,3,31,16,1,6,7,6,3,0,6,4,7,2,1,0,3,7,7,0,11,1,22,1,0,4,0,6,7,9,3,15,6,16,2,2,20,1,0,6,103,4,18,6,28,25,16,3,12,4,1,51,2,3,8,47,1,1,2,9
CELL0366,10,15,1,0,19,2,1,16,3,4,0,2,11,4,55,2,2,3,5,10,48,12,3,1,3,7,0,2,0,5,19,2,6,2,5,1,3,4,1,8,16,0,2,7,1,6,27,22,2,1,2,4,15,7,26,6,2,2,13,10,23,22,47,18,19,12,21,1,6,18,6,14,2,2,7,1,26,15,5,12
CELL0367,17,18,1,5,4,6,12,0,16,3,0,6,1,0,0,1,4,0,5,2,1,0,1,3,5,1,4,16,0,25,2,3,1,5,1,2,3,2,1,1,13,12,1,2,2,1,2,5,0,12,12,8,3,3,0,1,4,3,10,1,1,6,0,1,4,2,1,2,2,0,8,12,0,0,2,12,0,6,3,1
CELL0368,3,5,13,11,7,2,3,4,5,8,9,4,11,1,9,1,11,12,8,22,4,0,11,4,5,4,27,3,3,8,0,3,1,3,4,3,1,1,2,3,2,1,7,27,3,1,0,5,1,15,26,1,3,7,2,1,14,1,1,25,9,3,10,8,3,14,13,8,6,1,4,0,4,18,25,3,1,3,3,20
CELL0369,7,3,17,24,67,1,10,7,19,5,17,5,67,6,36,8,1,14,2,0,7,6,21,43,0,26,22,0,23,4,0,3,47,1,4,22,177,16,9,4,10,12,3,4,15,3,3,5,12,10,7,3,3,13,7,9,2,9,4,6,21,7,15,14,5,2,3,5,2,7,1,3,14,11,0,0,3,32,3,1
CELL0370,4,3,3,5,6,1,4,0,11,4,3,4,14,1,10,0,10,7,4,16,4,1,2,2,7,0,17,2,1,10,1,4,0,2,3,4,1,3,0,0,0,3,3,23,1,4,1,2,1,5,23,3,5,7,1,2,10,1,1,17,3,1,5,6,3,6,11,4,1,3,0,2,1,13,12,4,1,2,3,15
CELL0371,1,1,3,3,2,2,2,1,1,8,5,3,6,1,6,0,10,7,6,12,2,1,5,6,2,2,21,4,2,7,0,3,1,1,3,3,3,0,0,2,4,0,3,29,3,0,2,4,2,2,26,2,3,5,2,0,11,2,0,8,3,5,6,4,0,3,8,2,1,0,3,1,3,13,20,4,0,3,2,19
CELL0372,3,5,17,27,17,5,3,2,5,18,4,6,1,3,4,3,2,2,3,19,5,4,17,9,1,12,5,2,3,0,10,2,5,2,0,2,3,7,0,0,17,1,14,1,1,4,0,9,5,14,2,13,9,35,3,3,14,0,1,1,105,7,20,4,30,29,10,1,2,8,3,70,1,3,7,45,2,1,8,8
CELL0373,8,12,1,0,14,7,0,16,2,0,0,1,12,2,35,0,1,3,2,9,31,5,3,1,1,4,0,0,0,5,14,2,5,0,3,2,2,2,8,5,7,3,3,4,1,7,17,21,4,1,2,3,16,5,23,2,1,1,17,1,17,17,29,20,19,13,12,2,6,12,6,15,1,0,3,0,27,8,4,7
CELL0374,3,3,7,6,9,2,2,1,2,5,3,3,10,0,11,0,13,5,5,6,1,1,10,4,8,4,17,0,1,14,0,3,0,4,2,3,0,3,1,2,3,1,4,27,1,0,3,2,1,10,28,0,3,5,1,0,11,1,1,13,4,3,2,2,3,3,20,2,5,4,0,0,3,13,20,7,1,3,2,19
CELL0375,2,2,4,3,4,0,4,3,11,12,6,4,10,0,10,2,17,9,10,21,5,0,7,9,6,3,27,3,8,17,0,3,0,2,12,5,3,3,1,0,4,2,2,26,3,4,3,6,2,15,25,3,3,6,4,2,19,0,1,16,8,3,7,5,4,6,15,7,4,5,5,0,4,19,21,5,3,3,3,20
CELL0376,4,2,5,9,21,1,4,1,9,2,5,0,21,6,12,4,3,3,1,0,0,4,9,22,1,11,8,0,8,4,0,0,14,0,1,10,82,7,2,2,1,8,1,0,3,1,1,3,3,4,5,0,1,4,2,2,4,3,2,5,8,5,10,7,2,0,0,5,0,3,3,0,6,7,0,0,4,10,2,1
CELL0377,4,1,2,3,7,1,2,1,5,5,3,3,11,2,4,4,11,8,2,21,3,0,13,1,5,2,29,4,4,6,0,3,3,2,8,2,0,1,2,3,1,7,2,25,4,1,0,4,2,11,32,4,3,6,0,1,16,2,2,13,6,2,6,8,4,10,13,5,3,2,3,0,5,17,18,6,3,4,2,18
CELL0378,4,5,24,18,11,4,4,7,7,23,3,5,2,6,3,3,1,4,1,13,2,5,21,8,3,11,6,5,2,1,5,5,4,1,0,1,3,5,4,0,10,4,21,1,0,2,1,11,4,11,1,6,2,18,1,4,19,2,0,7,82,8,9,0,27,23,18,4,10,3,2,62,0,1,10,50,1,4,9,7
CELL0379,3,2,5,2,4,1,1,1,5,12,3,3,9,1,8,0,16,3,5,8,1,1,7,6,5,2,20,4,2,4,0,0,2,3,3,4,1,0,0,1,1,0,6,22,5,0,0,4,1,15,20,3,3,5,2,0,9,1,0,10,9,0,4,5,1,3,14,2,4,2,2,0,1,21,18,6,1,3,4,13
CELL0380,20,15,2,6,2,6,6,0,14,3,0,3,6,1,0,0,3,2,5,2,1,1,1,1,2,2,10,14,0,23,5,5,3,1,0,2,1,4,5,1,9,10,1,0,3,3,2,4,0,9,16,9,5,3,1,1,0,2,5,1,2,8,1,1,6,1,1,2,7,0,10,20,0,0,1,8,0,11,4,1
CELL0381,7,12,1,3,8,4,0,12,2,0,0,0,7,3,18,2,1,0,3,6,26,5,2,0,2,2,1,1,2,5,17,1,3,1,4,1,1,6,5,6,8,1,5,3,0,4,14,17,3,1,4,2,9,6,17,2,0,2,15,5,11,11,21,15,13,9,3,0,5,4,2,6,5,2,0,0,13,4,0,9
CELL0382,3,2,7,7,31,2,1,1,2,10,5,3,37,2,13,3,1,2,1,0,2,2,10,28,0,10,8,0,7,2,0,1,21,1,2,14,102,4,1,1,8,5,1,2,8,0,2,3,4,4,5,1,0,6,2,2,2,7,2,4,11,3,14,9,3,2,5,1,0,3,2,0,8,2,1,0,2,10,3,0
CELL0383,20,9,2,2,1,8,4,1,9,3,0,3,0,2,1,1,4,1,2,2,0,1,1,5,4,0,8,11,0,22,2,9,2,0,0,4,3,3,1,1,10,12,1,2,3,2,3,13,0,6,16,5,2,3,0,0,2,5,7,0,1,10,0,1,5,0,1,1,5,1,6,17,0,1,1,8,1,6,10,3
CELL0384,7,3,13,13,12,5,0,2,4,18,3,6,4,3,2,2,1,5,5,11,4,0,21,8,2,3,6,6,3,2,10,2,2,0,2,4,2,3,4,0,8,1,18,0,3,5,1,7,3,10,1,11,4,19,3,3,9,0,0,1,61,7,10,2,19,13,20,1,4,6,3,41,1,0,9,55,2,6,6,4
CELL0385,8,6,18,28,25,9,4,3,8,24,3,6,3,11,8,6,2,2,4,13,4,2,20,20,2,3,18,3,5,4,7,5,4,1,1,3,2,7,4,0,14,2,31,1,0,7,1,13,5,15,1,7,5,32,0,4,30,1,2,10,117,6,23,5,27,31,22,1,3,7,6,74,2,2,12,50,2,5,1,5
CELL0386,0,1,7,8,18,0,9,0,7,1,5,2,31,3,14,3,3,1,1,0,1,1,9,22,1,12,8,1,10,3,0,1,21,0,1,13,92,9,6,3,5,5,0,3,10,1,0,2,2,7,4,0,1,4,1,2,4,6,3,2,7,3,10,9,0,0,1,4,0,2,0,0,12,3,1,0,4,12,0,1
CELL0387,4,3,29,29,21,10,5,7,7,36,3,7,6,10,8,8,2,4,10,16,2,4,27,21,0,9,14,2,10,4,14,3,11,6,1,2,6,10,11,0,17,4,24,2,3,5,2,17,7,16,1,11,9,41,4,4,31,1,2,8,119,14,17,1,35,35,29,3,10,7,1,82,2,3,11,73,1,2,4,10
CELL0388,2,6,10,15,32,0,11,3,3,6,10,4,41,8,20,2,2,5,3,0,0,5,14,28,1,14,11,1,17,2,0,1,33,3,1,21,137,8,1,7,9,10,2,3,8,2,2,4,7,8,7,1,3,6,5,4,3,7,2,3,10,10,14,6,2,1,1,3,0,0,1,0,16,2,2,1,5,21,4,3
CELL0389,1,0,7,8,24,1,10,0,5,3,6,2,24,2,13,0,0,1,0,1,0,3,5,13,2,9,10,0,8,2,0,0,27,3,0,17,79,8,1,0,0,5,0,2,8,2,2,0,2,4,3,0,0,7,5,4,0,6,4,3,7,5,9,11,1,0,2,0,0,3,2,0,4,5,1,0,1,10,1,1
CELL0390,5,2,9,10,23,0,7,2,6,4,6,4,24,2,15,2,0,5,1,0,2,3,11,22,0,8,7,0,10,1,2,1,16,3,2,9,78,3,0,0,8,6,2,4,6,1,2,2,2,5,3,1,0,4,1,4,1,2,2,1,9,7,9,4,1,2,2,7,0,6,1,0,10,2,1,0,2,14,0,0
CELL0391,0,0,7,12,16,1,5,2,10,1,3,2,28,8,9,2,0,4,2,1,2,2,9,18,0,6,11,0,8,3,2,3,24,3,0,17,66,3,1,3,6,7,3,3,9,2,1,1,8,4,7,0,0,3,2,0,2,5,2,1,5,3,9,5,1,1,1,0,0,2,3,0,5,3,0,0,6,6,1,2
CELL0392,3,2,6,6,3,0,2,0,2,6,5,6,8,2,7,0,15,4,6,11,1,0,9,4,1,1,19,2,4,9,0,1,0,2,5,4,1,2,0,4,2,2,4,24,3,2,2,4,0,7,18,3,8,2,3,1,9,1,0,8,3,1,2,5,5,7,15,5,1,3,3,1,3,15,18,4,0,3,3,16
CELL0393,6,4,21,25,16,2,6,2,7,20,4,14,6,5,9,4,0,8,4,15,2,3,29,11,2,7,9,4,5,3,5,3,3,1,1,1,6,7,5,0,15,4,28,1,1,2,0,5,6,9,2,19,7,24,0,4,13,2,4,4,86,8,12,0,22,26,23,1,8,4,1,84,0,1,11,55,3,5,4,11
CELL0394,2,2,8,6,3,1,1,0,5,6,12,3,5,1,8,2,17,10,4,21,3,1,5,4,3,2,18,4,4,4,1,2,0,0,6,4,4,1,0,0,3,2,5,27,2,1,3,10,1,9,29,2,4,8,2,2,10,2,0,17,6,3,7,6,5,6,16,7,2,4,4,0,1,18,23,3,3,1,6,23
CELL0395,3,5,1,3,9,4,1,5,3,1,0,1,9,0,15,0,2,0,4,4,26,5,1,0,0,2,0,0,1,0,4,0,2,0,1,0,1,2,2,4,3,0,0,2,0,5,13,10,2,0,0,0,8,5,11,4,0,0,8,3,9,9,15,11,14,7,9,0,3,10,4,8,1,2,3,1,12,6,0,5
CELL0396,1,2,2,5,3,1,0,2,4,8,7,2,12,0,10,1,9,5,6,15,5,1,4,3,5,2,20,3,1,14,0,3,1,3,8,0,0,1,1,1,2,1,6,19,6,5,3,4,0,9,21,1,2,7,1,0,7,4,0,12,4,3,5,12,1,8,13,7,2,5,2,0,4,20,15,6,4,1,2,17
CELL0397,3,1,4,3,8,0,0,0,8,8,7,5,9,0,8,0,7,9,3,17,5,0,5,3,1,1,19,4,7,10,0,3,0,0,5,3,1,1,0,2,0,0,5,26,4,2,3,2,2,7,22,1,3,5,1,0,10,1,0,8,6,2,6,7,3,6,12,3,4,0,3,1,2,14,23,5,2,5,4,14
CELL0398,3,1,8,3,8,3,3,1,7,5,5,7,14,0,6,1,12,11,5,15,3,1,3,3,1,3,18,2,2,4,0,1,0,1,3,3,1,3,1,1,2,3,0,15,2,1,2,4,2,7,23,0,3,4,2,0,8,1,0,6,3,2,3,5,3,3,11,6,2,0,3,0,8,11,15,8,1,0,0,14
CELL0399,15,22,0,2,16,7,0,20,5,2,2,0,18,7,45,4,2,4,2,11,52,16,3,1,1,3,0,2,0,5,17,3,10,2,4,0,3,2,5,8,14,1,2,11,2,12,23,24,3,2,9,3,22,9,27,11,1,2,13,8,19,27,48,25,28,9,22,1,4,12,6,22,6,0,4,2,29,18,5,14
CELL0400,2,0,12,11,37,0,12,5,9,8,5,5,37,5,18,5,0,5,0,1,1,4,7,26,1,10,15,0,11,1,1,0,20,0,1,11,108,9,1,1,6,10,2,4,15,0,4,2,5,8,4,1,1,5,5,4,2,3,1,1,6,5,8,6,3,2,4,5,0,2,2,0,8,4,2,1,2,18,2,0
CELL0401,2,3,26,18,17,7,3,4,6,20,5,5,2,10,6,5,2,8,1,11,4,3,17,6,3,7,10,3,3,5,9,6,6,1,1,1,4,8,8,0,11,4,30,1,1,4,2,10,7,8,0,12,14,18,0,2,21,1,2,5,91,11,16,1,41,31,13,1,6,6,2,65,0,1,17,46,0,3,2,8
CELL0402,9,15,0,2,14,2,0,12,5,1,0,0,10,3,38,3,0,6,1,3,41,12,2,2,3,2,2,1,0,0,14,1,4,2,6,0,2,5,6,6,8,1,1,3,3,4,11,14,3,2,6,2,13,3,23,2,1,0,21,4,15,15,34,16,23,11,15,1,5,8,6,14,1,1,3,1,19,12,4,6
